timestamp,affected_site,affected_sector,affected_cell,cod_state,cod_evidence,decision,target_site,target_sector,suggested_action,rs_power_delta_db,etilt_delta_deg,ml_predicted_reward,safety_status,engineering_note,claim_boundary
18-May-2026 00:45:00,shutis,S16,shutis_04,degraded_kpi,traffic_collapse|low_erab_setup,No COC action,none,none,"No RF parameter change",0,0,-0.00118222873126891,no_op_baseline,no-op baseline,"Advisory only: simulation-trained ML estimate, no real action applied"
19-May-2026 02:45:00,gemtel,S1,gemtel_01,degraded_kpi,high_rrc_drop,No COC action,none,none,"No RF parameter change",0,0,-0.000645157375840102,no_op_baseline,no-op baseline,"Advisory only: simulation-trained ML estimate, no real action applied"
19-May-2026 02:45:00,gemtel,S2,gemtel_03,degraded_kpi,traffic_collapse|high_rrc_drop,No COC action,none,none,"No RF parameter change",0,0,-0.00102014373903971,no_op_baseline,no-op baseline,"Advisory only: simulation-trained ML estimate, no real action applied"
19-May-2026 02:45:00,gemtel,S3,gemtel_02,degraded_kpi,high_rrc_drop|high_erab_drop,No COC action,none,none,"No RF parameter change",0,0,-0.000931705056131308,no_op_baseline,no-op baseline,"Advisory only: simulation-trained ML estimate, no real action applied"
19-May-2026 03:15:00,gemtel,S1,gemtel_01,degraded_kpi,high_erab_drop,No COC action,none,none,"No RF parameter change",0,0,-0.000787868766470837,no_op_baseline,no-op baseline,"Advisory only: simulation-trained ML estimate, no real action applied"
19-May-2026 03:15:00,denver,S7,denver_03,degraded_kpi,high_erab_drop,No COC action,none,none,"No RF parameter change",0,0,-0.000787868766470837,no_op_baseline,no-op baseline,"Advisory only: simulation-trained ML estimate, no real action applied"
19-May-2026 03:15:00,denver,S8,denver_01,degraded_kpi,high_erab_drop,No COC action,none,none,"No RF parameter change",0,0,-0.000777457572266006,no_op_baseline,no-op baseline,"Advisory only: simulation-trained ML estimate, no real action applied"
19-May-2026 03:15:00,denver,S9,denver_02,degraded_kpi,high_erab_drop,No COC action,none,none,"No RF parameter change",0,0,-0.000787868766470837,no_op_baseline,no-op baseline,"Advisory only: simulation-trained ML estimate, no real action applied"
19-May-2026 03:15:00,mkm,S15,mkm_02,degraded_kpi,high_erab_drop,No COC action,none,none,"No RF parameter change",0,0,-0.000787868766470837,no_op_baseline,no-op baseline,"Advisory only: simulation-trained ML estimate, no real action applied"
19-May-2026 03:15:00,shutis,S16,shutis_04,degraded_kpi,high_erab_drop,No COC action,none,none,"No RF parameter change",0,0,-0.000995635159901509,no_op_baseline,no-op baseline,"Advisory only: simulation-trained ML estimate, no real action applied"
19-May-2026 03:15:00,hiid,S20,hiid_04,degraded_kpi,high_erab_drop,No COC action,none,none,"No RF parameter change",0,0,-0.000787868766470837,no_op_baseline,no-op baseline,"Advisory only: simulation-trained ML estimate, no real action applied"
19-May-2026 03:30:00,mkm,S14,mkm_01,degraded_kpi,high_erab_drop,No COC action,none,none,"No RF parameter change",0,0,-0.0010053583301067,no_op_baseline,no-op baseline,"Advisory only: simulation-trained ML estimate, no real action applied"
19-May-2026 03:45:00,shutis,S16,shutis_04,degraded_kpi,high_erab_drop,No COC action,none,none,"No RF parameter change",0,0,-0.000995635159901509,no_op_baseline,no-op baseline,"Advisory only: simulation-trained ML estimate, no real action applied"
19-May-2026 03:45:00,shutis,S17,shutis_05,degraded_kpi,traffic_collapse|high_erab_drop,No COC action,none,none,"No RF parameter change",0,0,-0.0012252405618744,no_op_baseline,no-op baseline,"Advisory only: simulation-trained ML estimate, no real action applied"
19-May-2026 10:30:00,gemtel,S1,gemtel_01,degraded_kpi,high_rrc_drop|high_erab_drop,No COC action,none,none,"No RF parameter change",0,0,-0.000580757002169349,no_op_baseline,no-op baseline,"Advisory only: simulation-trained ML estimate, no real action applied"
