sim_site_id,sim_position,sim_sector_id,vendor_site_key,vendor_file,vendor_cell_id,sim_azimuth_deg,current_rs_power_dbm,current_electrical_tilt_deg,min_rs_power_dbm,max_rs_power_dbm,min_electrical_tilt_deg,max_electrical_tilt_deg,config_source
1,CENTER,1,gemtel,gemtel.xlsx,1,30,15,4,12,21,0,10,assumed_not_vendor_verified
1,CENTER,2,gemtel,gemtel.xlsx,3,150,15,4,12,21,0,10,assumed_not_vendor_verified
1,CENTER,3,gemtel,gemtel.xlsx,2,270,15,4,12,21,0,10,assumed_not_vendor_verified
2,NORTH,4,uulzwar,uulzwar.xlsx,1,30,15,4,12,21,0,10,assumed_not_vendor_verified
2,NORTH,5,uulzwar,uulzwar.xlsx,2,150,15,4,12,21,0,10,assumed_not_vendor_verified
2,NORTH,6,uulzwar,uulzwar.xlsx,3,270,15,4,12,21,0,10,assumed_not_vendor_verified
3,NORTHEAST,7,denver,denver.xlsx,3,30,15,4,12,21,0,10,assumed_not_vendor_verified
3,NORTHEAST,8,denver,denver.xlsx,1,150,15,4,12,21,0,10,assumed_not_vendor_verified
3,NORTHEAST,9,denver,denver.xlsx,2,270,15,4,12,21,0,10,assumed_not_vendor_verified
4,SOUTHEAST,10,rivercastle,rivercastle.xlsx,1,30,15,4,12,21,0,10,assumed_not_vendor_verified
4,SOUTHEAST,11,rivercastle,rivercastle.xlsx,2,150,15,4,12,21,0,10,assumed_not_vendor_verified
4,SOUTHEAST,12,rivercastle,rivercastle.xlsx,3,270,15,4,12,21,0,10,assumed_not_vendor_verified
5,SOUTH,13,mkm,mkm.xlsx,3,30,15,4,12,21,0,10,assumed_not_vendor_verified
5,SOUTH,14,mkm,mkm.xlsx,1,150,15,4,12,21,0,10,assumed_not_vendor_verified
5,SOUTH,15,mkm,mkm.xlsx,2,270,15,4,12,21,0,10,assumed_not_vendor_verified
6,SOUTHWEST,16,shutis,shutis.xlsx,4,30,15,4,12,21,0,10,assumed_not_vendor_verified
6,SOUTHWEST,17,shutis,shutis.xlsx,5,150,15,4,12,21,0,10,assumed_not_vendor_verified
6,SOUTHWEST,18,shutis,shutis.xlsx,6,270,15,4,12,21,0,10,assumed_not_vendor_verified
7,NORTHWEST,19,hiid,hiid.xlsx,6,30,15,4,12,21,0,10,assumed_not_vendor_verified
7,NORTHWEST,20,hiid,hiid.xlsx,4,150,15,4,12,21,0,10,assumed_not_vendor_verified
7,NORTHWEST,21,hiid,hiid.xlsx,5,270,15,4,12,21,0,10,assumed_not_vendor_verified
