sim_site_id,sim_position,vendor_site_key,train_rows,test_rows,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2,generalization_gap_mae,split_timestamp,ridge_lambda
1,CENTER,gemtel,397,92,4.50798644257978,6.27834398579521,0.700249246703478,3.02104224634037,4.0428499602409,0.666027191011685,-1.48694419623941,23-May-2026 02:15:00,5000
2,NORTH,uulzwar,398,92,4.96319098809367,6.92580328843045,0.866693886246699,2.96622202089278,3.80629196806255,0.876494200319836,-1.99696896720089,23-May-2026 02:30:00,5000
3,NORTHEAST,denver,400,92,7.28872664541996,10.2055262073188,0.765218835970968,5.04561278097323,7.18513505291041,0.694332512862282,-2.24311386444673,23-May-2026 02:45:00,5000
4,SOUTHEAST,rivercastle,399,92,3.60279760804967,5.05051522942902,0.887446499944689,2.7479901434211,4.38880257331877,0.657445586137256,-0.854807464628567,23-May-2026 02:30:00,1000
5,SOUTH,mkm,399,92,5.25895304559035,7.98498564576243,0.919448246685152,4.58024217136687,6.0641710813,0.121696865265838,-0.678710874223477,23-May-2026 02:30:00,5000
6,SOUTHWEST,shutis,399,92,4.258397738331,6.47814216157978,0.930223652589546,6.90213875648528,11.6007199915039,-0.102439929023942,2.64374101815428,23-May-2026 02:30:00,1000
7,NORTHWEST,hiid,400,92,6.4319314673511,9.36985602278427,0.882786071480451,6.03382263417148,7.89708656830316,0.65399436811182,-0.398108833179616,23-May-2026 02:45:00,5000
