source_event_id,timestamp,sim_site_id,sim_position,source_sim_sector_id,source_vendor_site_key,source_cell_uid,source_cell_id,source_cell_name,cod_state,cod_reason,target_sim_sector_id,target_vendor_site_key,target_cell_uid,action_type,delta_prs_dB,delta_tilt_deg,delta_cio_dB,is_no_op,source_sector_load,target_sector_load,source_mean_RSRP_dBm,source_mean_SINR_dB,source_qos_satisfaction_ratio,source_handover_risk_score,source_attach_rate_sector,source_active_users,target_active_users,target_traffic_volume_dl_kbyte,estimated_absorbed_load_proxy,estimated_absorbed_users_proxy,estimated_target_load_after_coc,estimated_target_users_after_coc,target_load_headroom_to_hard_limit,target_overload_safety_status,current_target_rs_power_dbm,current_target_electrical_tilt_deg,suggested_target_rs_power_dbm,suggested_target_electrical_tilt_deg,target_cell_availability,target_erab_drop_rate,ml_safety_status,model_name,rsrp_proxy_method,sinr_proxy_method,config_source,parameter_suggestion,prediction_claim,engineering_selection_allowed,engineering_selection_note,predicted_reward,ml_rank,ml_selected
2026-05-19 03:15:00|S20,19-May-2026 03:15:00,7,NORTHWEST,20,hiid,501_4,4,UB-DU-Dashchoilin hiid Velox_01,degraded_kpi,high_erab_drop,NaN,,,no_op,0,0,0,1,0.1372,0.1372,-107.8029,7.9085417347164,0.8779,0,1,3.0453,NaN,NaN,0.52084,9.02242,NaN,NaN,NaN,no_op_baseline,15,4,NaN,NaN,NaN,NaN,no_op_baseline,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"no RF parameter change",simulation-trained action-value estimate; not observed real KPI after-action,1,no-op baseline,-0.000787868766470837,1,1
2026-05-19 03:30:00|S14,19-May-2026 03:30:00,5,SOUTH,14,mkm,515_1,1,UB-DU-64r delguur MKM_01,degraded_kpi,high_erab_drop,NaN,,,no_op,0,0,0,1,0.0622,0.0622,-111.0501,7.74249604968087,0.8792,0,1,0.4756,NaN,NaN,0.02299,0.51038,NaN,NaN,NaN,no_op_baseline,15,4,NaN,NaN,NaN,NaN,no_op_baseline,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"no RF parameter change",simulation-trained action-value estimate; not observed real KPI after-action,1,no-op baseline,-0.0010053583301067,1,1
2026-05-19 03:45:00|S16,19-May-2026 03:45:00,6,SOUTHWEST,16,shutis,515_4,4,UB-DU-SHUTIS_01,degraded_kpi,high_erab_drop,NaN,,,no_op,0,0,0,1,0.0585,0.0585,-109.384,7.5045321998372,0.8858,0,1,1.0417,NaN,NaN,0.08453,1.27104,NaN,NaN,NaN,no_op_baseline,15,4,NaN,NaN,NaN,NaN,no_op_baseline,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"no RF parameter change",simulation-trained action-value estimate; not observed real KPI after-action,1,no-op baseline,-0.000995635159901509,1,1
2026-05-19 03:45:00|S17,19-May-2026 03:45:00,6,SOUTHWEST,17,shutis,515_5,5,UB-DU-SHUTIS_02,degraded_kpi,traffic_collapse|high_erab_drop,NaN,,,no_op,0,0,0,1,0.0228,0.0228,-108.3227,6.40835656345399,0.8903,0,1,0.8528,NaN,NaN,0.08453,1.27104,NaN,NaN,NaN,no_op_baseline,15,4,NaN,NaN,NaN,NaN,no_op_baseline,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"no RF parameter change",simulation-trained action-value estimate; not observed real KPI after-action,1,no-op baseline,-0.0012252405618744,1,1
2026-05-19 10:30:00|S1,19-May-2026 10:30:00,1,CENTER,1,gemtel,683_1,1,UB-DU-Shine gemtel 29r bair_01,degraded_kpi,high_rrc_drop|high_erab_drop,NaN,,,no_op,0,0,0,1,0.4215,0.4215,-99.0287,-5,0.1715,0.1667,0.9949,8.3647,NaN,NaN,0,0,NaN,NaN,NaN,no_op_baseline,15,4,NaN,NaN,NaN,NaN,no_op_baseline,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"no RF parameter change",simulation-trained action-value estimate; not observed real KPI after-action,1,no-op baseline,-0.000580757002169349,1,1
2026-05-19 10:30:00|S2,19-May-2026 10:30:00,1,CENTER,2,gemtel,683_3,3,UB-DU-Shine gemtel 29r bair_03,degraded_kpi,high_rrc_drop|high_erab_drop,NaN,,,no_op,0,0,0,1,0.5945,0.5945,-97.5268,-4.88589563250056,0.3374,0.1009,0.9969,9.109,NaN,NaN,0,0,NaN,NaN,NaN,no_op_baseline,15,4,NaN,NaN,NaN,NaN,no_op_baseline,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"no RF parameter change",simulation-trained action-value estimate; not observed real KPI after-action,1,no-op baseline,-0.000748963279563501,1,1
2026-05-19 10:30:00|S3,19-May-2026 10:30:00,1,CENTER,3,gemtel,683_2,2,UB-DU-Shine gemtel 29r bair_02,degraded_kpi,high_rrc_drop|high_erab_drop,NaN,,,no_op,0,0,0,1,0.4599,0.4599,-96.617,-5,0.3167,0.2137,0.9977,8.5882,NaN,NaN,0,0,NaN,NaN,NaN,no_op_baseline,15,4,NaN,NaN,NaN,NaN,no_op_baseline,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"no RF parameter change",simulation-trained action-value estimate; not observed real KPI after-action,1,no-op baseline,-0.000496571569030409,1,1
2026-05-19 10:45:00|S1,19-May-2026 10:45:00,1,CENTER,1,gemtel,683_1,1,UB-DU-Shine gemtel 29r bair_01,outage_like,availability_zero_or_low|tx_power_zero_or_low|very_low_rssi|traffic_collapse|active_user_collapse,17,shutis,515_5,compensate_neighbor,3,-1,0,0,0,0.2704,-125,-3,0,0,1,0,4.3289,429866.97,0.59307,10.67694,0.86347,15.00584,0.6296,target_load_headroom_ok,15,4,18,3,1,0.006,site_outage_coc_ml_advisory,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"ML-ranked COC target S17: +3 dB RS power, -1 deg electrical tilt",simulation-trained action-value estimate; not observed real KPI after-action,1,within KPI-only COC advisory action range with target load headroom check,0.0556331597458609,1,1
2026-05-19 10:45:00|S2,19-May-2026 10:45:00,1,CENTER,2,gemtel,683_3,3,UB-DU-Shine gemtel 29r bair_03,outage_like,availability_zero_or_low|tx_power_zero_or_low|very_low_rssi|traffic_collapse|active_user_collapse,17,shutis,515_5,compensate_neighbor,3,-1,0,0,0,0.2704,-125,-3,0,0,1,0,4.3289,429866.97,0.59307,10.67694,0.86347,15.00584,0.6296,target_load_headroom_ok,15,4,18,3,1,0.006,site_outage_coc_ml_advisory,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"ML-ranked COC target S17: +3 dB RS power, -1 deg electrical tilt",simulation-trained action-value estimate; not observed real KPI after-action,1,within KPI-only COC advisory action range with target load headroom check,0.0556331597458609,1,1
2026-05-19 10:45:00|S3,19-May-2026 10:45:00,1,CENTER,3,gemtel,683_2,2,UB-DU-Shine gemtel 29r bair_02,outage_like,availability_zero_or_low|tx_power_zero_or_low|very_low_rssi|traffic_collapse|active_user_collapse,17,shutis,515_5,compensate_neighbor,3,-1,0,0,0,0.2704,-125,-3,0,0,1,0,4.3289,429866.97,0.59307,10.67694,0.86347,15.00584,0.6296,target_load_headroom_ok,15,4,18,3,1,0.006,site_outage_coc_ml_advisory,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"ML-ranked COC target S17: +3 dB RS power, -1 deg electrical tilt",simulation-trained action-value estimate; not observed real KPI after-action,1,within KPI-only COC advisory action range with target load headroom check,0.0556331597458609,1,1
