episode_id,timestamp,affected_sector_count,affected_sites,affected_sectors,affected_sector_cells,target_label,target_cell_uid,target_sim_sector_id,safe_candidate_rows,rejected_candidate_rows,selected_rows,mean_target_prb,mean_estimated_absorbed_load,mean_estimated_target_prb_after_coc,mean_target_active_users,mean_estimated_target_users_after_coc,decision,decision_note
4,19-May-2026 12:15:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",no-op,,NaN,0,0,6,NaN,NaN,NaN,NaN,NaN,selected_no_op,ML/safety selected no-op for affected source rows
4,19-May-2026 12:30:00,3,Site 3,"S7, S8, S9","S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S10 | cell 684_1,684_1,10,18,0,0,0.405,0.3699,0.7749,6.6244,13.67962,safe_not_selected,Target was safe at this timestamp but ML chose another action/target.
4,19-May-2026 12:30:00,3,Site 3,"S7, S8, S9","S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S13 | cell 515_3,515_3,13,18,0,0,0.4375,0.3699,0.8074,41.6183,48.67352,safe_not_selected,Target was safe at this timestamp but ML chose another action/target.
4,19-May-2026 12:30:00,3,Site 3,"S7, S8, S9","S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S17 | cell 515_5,515_5,17,18,0,3,0.3182,0.3699,0.6881,4.9194,11.97462,selected_compensation,ML selected this target after target load/headroom safety.
4,19-May-2026 12:45:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S10 | cell 684_1,684_1,10,0,36,0,0.3719,0.62099,0.99289,6.5456,17.9341,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 12:45:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S13 | cell 515_3,515_3,13,0,36,0,0.3864,0.62099,1,52.1528,63.5413,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 12:45:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S17 | cell 515_5,515_5,17,0,36,0,0.3911,0.62099,1,4.7689,16.1574,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 12:45:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",no-op,,NaN,0,0,6,NaN,NaN,NaN,NaN,NaN,selected_no_op,ML/safety selected no-op for affected source rows
4,19-May-2026 13:00:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S10 | cell 684_1,684_1,10,0,36,0,0.3643,0.62099,0.985289999999999,7.9267,19.3152,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 13:00:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S12 | cell 684_3,684_3,12,0,36,0,0.504,0.62099,1,16.2817,27.6702,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 13:00:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S17 | cell 515_5,515_5,17,0,36,0,0.4784,0.62099,1,6.1411,17.5296,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 13:00:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",no-op,,NaN,0,0,6,NaN,NaN,NaN,NaN,NaN,selected_no_op,ML/safety selected no-op for affected source rows
4,19-May-2026 13:15:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S10 | cell 684_1,684_1,10,0,36,0,0.3748,0.62099,0.99579,7.7283,19.1168,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 13:15:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S13 | cell 515_3,515_3,13,0,36,0,0.5284,0.62099,1,42.6628,54.0513,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 13:15:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S17 | cell 515_5,515_5,17,0,36,0,0.311,0.62099,0.93199,4.3144,15.7029,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 13:15:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",no-op,,NaN,0,0,6,NaN,NaN,NaN,NaN,NaN,selected_no_op,ML/safety selected no-op for affected source rows
4,19-May-2026 13:30:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S10 | cell 684_1,684_1,10,0,36,0,0.3407,0.62099,0.96169,8.7672,20.1557,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 13:30:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S14 | cell 515_1,515_1,14,0,36,0,0.5013,0.62099,1,26.075,37.4635,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 13:30:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S17 | cell 515_5,515_5,17,0,36,0,0.4069,0.62099,1,4.8944,16.2829,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
