episode_id,timestamp,affected_sector_count,affected_sites,affected_sectors,affected_sector_cells,target_label,target_cell_uid,target_sim_sector_id,safe_candidate_rows,rejected_candidate_rows,selected_rows,mean_target_prb,mean_estimated_absorbed_load,mean_estimated_target_prb_after_coc,mean_target_active_users,mean_estimated_target_users_after_coc,decision,decision_note
4,19-May-2026 15:30:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S13 | cell 515_3,515_3,13,0,36,0,0.4699,0.62099,1,41.2689,52.6574,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 15:30:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S17 | cell 515_5,515_5,17,0,36,0,0.4231,0.62099,1,5.6806,17.0691,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 15:30:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",no-op,,NaN,0,0,6,NaN,NaN,NaN,NaN,NaN,selected_no_op,ML/safety selected no-op for affected source rows
4,19-May-2026 15:45:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S10 | cell 684_1,684_1,10,0,36,0,0.4279,0.62099,1,9.9844,21.3729,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 15:45:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S15 | cell 515_2,515_2,15,0,36,0,0.473,0.62099,1,19.0717,30.4602,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 15:45:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S17 | cell 515_5,515_5,17,0,36,0,0.4319,0.62099,1,5.1083,16.4968,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 15:45:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",no-op,,NaN,0,0,6,NaN,NaN,NaN,NaN,NaN,selected_no_op,ML/safety selected no-op for affected source rows
4,19-May-2026 16:00:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S6 | cell 608_3,608_3,6,0,36,0,0.5121,0.62099,1,16.0411,27.4296,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 16:00:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S10 | cell 684_1,684_1,10,0,36,0,0.4476,0.62099,1,11.6406,23.0291,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 16:00:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S14 | cell 515_1,515_1,14,0,36,0,0.4844,0.62099,1,14.9867,26.3752,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 16:00:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",no-op,,NaN,0,0,6,NaN,NaN,NaN,NaN,NaN,selected_no_op,ML/safety selected no-op for affected source rows
