timestamp,end_timestamp,granularity,vendor_site_key,vendor_file,sim_site_id,sim_position,site_id,eNodeBId,cell_id,cell_uid,vendor_cell_name,vendor_site_name,rrc_setup_success_rate,rrc_drop_rate,erab_setup_success_rate,erab_drop_rate,cell_availability,traffic_volume_dl_kbyte,traffic_volume_ul_kbyte,active_users,max_active_users,dl_throughput_mbps,ul_throughput_mbps,dl_bler,ul_bler,ul_prb_utilization,dl_prb_utilization,handover_intra_enb_intra_freq_success,handover_intra_enb_inter_freq_success,handover_inter_enb_x2_success,handover_inter_enb_s1_success,rssi_min_dbm,rssi_max_dbm,rssi_avg_dbm,tx_power_w,sim_sector_id,sim_azimuth_deg,selected_for_21cell_topology
18-May-2026 03:15:00,18-May-2026 03:30:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0,1,0,1,360295.4,13594.5,2.8583,9,28.924,0.456,0.1125,0.0437,0.1405,0.1117,1,1,1,0.8,-90.52,-73.38,-86.2702,15.1692,1,30,1
18-May-2026 03:30:00,18-May-2026 03:45:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0,1,0,1,476394.3,15193.74,2.1972,6,32.33,0.56456,0.1026,0.0586,0.1473,0.1423,1,1,1,1,-90.66,-76.4,-86.5891,19.057,1,30,1
18-May-2026 03:45:00,18-May-2026 04:00:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0,0.995,0,1,881692.87,19489.89,2.33,7,38.28744,0.578,0.131,0.0672,0.138,0.2268,1,1,1,1,-90.84,-81.1,-86.8155,22.3159,1,30,1
18-May-2026 04:00:00,18-May-2026 04:15:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0,1,0,1,1544183.3,31163.44,2.9711,7,36.10944,0.58592,0.1269,0.0831,0.2068,0.4274,1,1,1,0.9333,-91.53,-79.94,-87.0778,23.9941,1,30,1
18-May-2026 04:15:00,18-May-2026 04:30:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0,1,0,1,576793.51,10680.31,2.28,9,30.69704,0.36008,0.1175,0.0893,0.1256,0.1944,1,1,1,1,-90.83,-82.59,-87.7918,15.8667,1,30,1
18-May-2026 04:30:00,18-May-2026 04:45:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0,1,0,1,144591.92,9365.84,1.6028,7,25.13496,0.6804,0.1203,0.0831,0.0992,0.0632,1,1,1,0.9231,-91.27,-77.88,-88.1315,15.5333,1,30,1
18-May-2026 04:45:00,18-May-2026 05:00:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0,1,0,1,192447.46,7542.37,1.8411,6,25.26264,0.45672,0.1181,0.0599,0.0875,0.0821,1,1,1,0.7826,-92.17,-81.13,-88.2972,15.2574,1,30,1
18-May-2026 05:00:00,18-May-2026 05:15:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0,1,0,1,195614.22,15254.3,1.5939,5,25.83944,0.63056,0.11,0.0922,0.141,0.073,1,1,1,0.8667,-92.22,-81.16,-89.4239,16.0335,1,30,1
18-May-2026 05:15:00,18-May-2026 05:30:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0,1,0,1,362494.59,17481.64,1.9383,6,34.708,0.76504,0.1258,0.0607,0.1236,0.1011,1,1,1,0.8438,-92.19,-80.47,-88.9195,18.7494,1,30,1
18-May-2026 05:30:00,18-May-2026 05:45:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0,1,0,1,122807.08,10505.45,1.4494,6,24.76384,0.45128,0.1326,0.093,0.1315,0.0518,1,1,1,0.8,-91.98,-72.46,-88.0047,15.4029,1,30,1
18-May-2026 05:45:00,18-May-2026 06:00:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0,1,0,1,318829.35,22299.52,2.2156,6,30.72872,0.95784,0.3389,0.0452,0.1314,0.0935,1,1,1,1,-92.18,-80.83,-88.4173,16.4991,1,30,1
18-May-2026 06:00:00,18-May-2026 06:15:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0,1,0,1,470732.39,18240.25,2.4933,7,40.10888,0.8016,0.1156,0.0462,0.1228,0.1092,1,1,1,0.8929,-91.8,-76.48,-87.8957,16.544,1,30,1
18-May-2026 06:15:00,18-May-2026 06:30:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0,1,0,1,319079.11,59501.21,3.2167,9,21.20376,1.4584,0.1045,0.0423,0.1592,0.0843,1,1,1,0.9667,-89.77,-70.24,-84.157,15.9038,1,30,1
18-May-2026 06:30:00,18-May-2026 06:45:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),0.9964,0.0109,0.9755,0,1,515383.23,57467.21,3.79,9,25.88696,1.22504,0.1101,0.0355,0.1694,0.1474,1,1,1,0.9815,-90.83,-73.62,-84.4797,19.7778,1,30,1
18-May-2026 06:45:00,18-May-2026 07:00:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0,1,0,1,517281.38,30450.52,4.3356,10,24.47696,0.66408,0.1153,0.0322,0.15,0.1454,1,1,1,0.9333,-90.19,-72.99,-85.4639,19.0748,1,30,1
18-May-2026 07:00:00,18-May-2026 07:15:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0,1,0,1,500701.12,43225.76,4.9267,13,18.04656,0.75536,0.1064,0.0388,0.2267,0.2048,1,1,1,0.8729,-89.52,-66.65,-83.1821,19.6698,1,30,1
18-May-2026 07:15:00,18-May-2026 07:30:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0,1,0,1,526513.69,28679.53,4.4478,12,24.90808,0.65424,0.1263,0.0507,0.1705,0.1889,1,1,1,0.9333,-88.44,-69.34,-81.6795,21.8542,1,30,1
18-May-2026 07:30:00,18-May-2026 07:45:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0,1,0,1,539681.11,43214.29,5.2,14,21.2912,0.8868,0.119,0.0501,0.2112,0.2312,1,0.9744,1,0.9146,-89.2,-68.61,-83.184,23.0325,1,30,1
18-May-2026 07:45:00,18-May-2026 08:00:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0,1,0,1,955464.03,52107.7,6.8156,14,22.06496,0.818,0.1217,0.0483,0.2842,0.4142,1,1,1,0.9413,-86.85,-68.95,-80.3195,27.9376,1,30,1
18-May-2026 08:00:00,18-May-2026 08:15:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0,0.9985,0,1,757191.7,73994.02,7.7594,17,18.13168,1.02816,0.1168,0.0491,0.3473,0.3824,1,1,1,0.9158,-88.6,-76.3,-82.0495,28.9917,1,30,1
18-May-2026 08:15:00,18-May-2026 08:30:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0,1,0,1,686537.9,56632.51,7.0556,16,17.50552,0.81776,0.1163,0.0515,0.3258,0.3604,1,1,1,0.9923,-85.61,-74.37,-80.2095,27.5408,1,30,1
18-May-2026 08:30:00,18-May-2026 08:45:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0.0071,0.9862,0.0006,1,1113635.39,97469.8,8.8244,19,20.73032,1.13232,0.1191,0.0531,0.4201,0.4935,1,0.991,1,0.9439,-85.61,-74.13,-80.6437,31.0183,1,30,1
18-May-2026 08:45:00,18-May-2026 09:00:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0.001,1,0.0012,1,857712.35,77341.93,6.93,15,18.24496,0.98592,0.1186,0.0467,0.3971,0.4404,1,1,1,0.8942,-85.91,-72.22,-80.7492,28.4332,1,30,1
18-May-2026 09:00:00,18-May-2026 09:15:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0,1,0,1,505151.29,47572.92,6.0411,16,14.55176,0.8164,0.1155,0.0488,0.2845,0.3293,1,1,1,0.9169,-85.39,-69.13,-81.228,24.5061,1,30,1
18-May-2026 09:15:00,18-May-2026 09:30:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0.0011,1,0.0012,1,574597.62,52989.85,6.2678,14,16.35984,0.81488,0.1185,0.049,0.3081,0.3165,1,1,1,0.9425,-86.23,-69.87,-81.2645,25.2614,1,30,1
18-May-2026 09:30:00,18-May-2026 09:45:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0.0012,1,0.0019,1,658482.01,54667.46,7.0117,15,16.32888,0.7956,0.1519,0.0494,0.317,0.3864,1,1,1,0.8889,-86.31,-65.55,-81.1419,27.5126,1,30,1
18-May-2026 09:45:00,18-May-2026 10:00:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),0.9974,0.0013,1,0.0014,1,646255.28,76990.9,7.1239,16,19.28176,1.09648,0.1161,0.0451,0.3935,0.2878,1,0.9885,1,0.8889,-87.28,-70.63,-81.5833,24.6756,1,30,1
18-May-2026 10:00:00,18-May-2026 10:15:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0,1,0,1,821502.23,66294.54,7.9478,17,19.52832,0.83704,0.1147,0.0532,0.3778,0.38,1,0.9899,1,0.92,-85.73,-76.53,-81.6065,27.2861,1,30,1
18-May-2026 10:15:00,18-May-2026 10:30:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0.0024,1,0.0033,1,1168713.31,94779.34,10.0133,18,16.04416,0.96248,0.1129,0.051,0.5014,0.6889,0.9259,1,1,0.9459,-85.9,-75.11,-80.7221,31.9138,1,30,1
18-May-2026 10:30:00,18-May-2026 10:45:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0.0011,1,0.0012,1,869464.16,125382.87,11.7,21,16.93552,1.31792,0.1106,0.0438,0.5603,0.4211,0.9667,1,1,0.9474,-84.69,-73.06,-79.0394,29.5755,1,30,1
18-May-2026 10:45:00,18-May-2026 11:00:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0.0019,1,0.0021,1,1200329.15,99183.01,11.4889,21,20.41056,1.09376,0.1133,0.0418,0.4484,0.5032,0.9444,1,1,0.8939,-83.41,-71.71,-78.02,33.5123,1,30,1
18-May-2026 11:00:00,18-May-2026 11:15:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0.0009,1,0.0011,1,811976.36,121437.42,9.3417,19,16.0136,1.32768,0.116,0.0427,0.4707,0.4367,1,1,1,0.9291,-86.13,-74,-80.1728,31.8294,1,30,1
18-May-2026 11:15:00,18-May-2026 11:30:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0.0042,1,0.004,1,963588.56,95125.61,9.8567,22,18.82232,0.96632,0.1166,0.0487,0.5059,0.4642,1,1,1,0.9227,-83.68,-75.22,-79.5109,32.3596,1,30,1
18-May-2026 11:30:00,18-May-2026 11:45:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0.0039,1,0.0041,1,1041237.77,105441.96,9.7994,19,19.36928,1.13816,0.1118,0.0558,0.4375,0.473,1,1,1,0.9301,-84.45,-67.91,-79.0529,31.897,1,30,1
