ueId,x_m,y_m,servingSector,servingSite,bestRSRP_dBm,bestSINR_dB,isAttached
1,-289.887605199174,-795.061606828383,15,5,-90.7857140908431,10.0269577205315,1
2,1041.42049007059,105.80285333551,8,3,-83.5211189890067,20.6011926775765,1
3,227.960296580101,586.38424987824,5,2,-91.8219211767756,8.21252477950322,1
4,-794.803339834041,774.088563503534,19,7,-96.6770888315678,2.96951719941605,1
5,-794.859071752237,400.939222412177,21,7,-66.3380458220114,31.1074499609337,1
6,-1021.09201913696,485.511913891602,21,7,-88.6806261777431,17.4315504807106,1
7,233.636349202846,-632.105968981923,12,4,-90.5143057104116,0.72538154886879,1
8,480.772504570848,-26.702714155346,12,4,-89.9615024931732,2.71381651866355,1
9,-735.175240428349,519.09183891946,19,7,-87.2182523582384,4.16609403935244,1
10,-452.317879359225,-806.569827790914,17,6,-83.5800192423743,6.97473607205593,1
11,57.2022116808425,171.566508940565,1,1,-75.638518145454,18.4226922495289,1
12,-157.247841991095,1049.13731461436,6,2,-97.7739942337674,0.0144173939161636,1
13,258.447301940428,498.500126795772,5,2,-99.3832307619559,0.504832123804112,1
14,-832.985496519278,-511.708078045313,18,6,-80.0836630158214,8.2339726790342,1
15,-101.504695801457,1121.80428201555,4,2,-95.8838539934064,4.42056920059308,1
16,658.927585050203,-65.1109252613392,10,4,-88.1792749965144,9.65762996677728,1
17,32.8900938305269,870.011581143216,4,2,-71.6118564147822,17.2207097085533,1
18,213.533105617552,-456.784089511841,13,5,-90.7491991862487,5.1704132590177,1
19,248.493138067606,-1169.08844273432,14,5,-87.1413355125602,16.7226594064737,1
20,-761.286969808217,243.088246709306,20,7,-82.5224372675105,11.1156087277138,1
21,-1004.99180244953,-681.746766544164,18,6,-85.8588744888215,20.4162485537948,1
22,712.582921918203,495.643031125548,7,3,-80.428633641935,16.7394150541968,1
23,-451.459430878266,-404.327032771121,17,6,-90.9216267920743,1.85981872214869,1
24,-929.618825588086,567.551982727636,21,7,-84.6899558287462,15.7596122601533,1
25,-138.283649781736,-466.40495069697,13,5,-91.8720334009557,6.12097821073861,1
26,-873.318466039344,99.7183041588128,16,6,-99.5594005058902,-2.45039613822943,1
27,-11.144231643287,734.09653707685,5,2,-84.3351075154385,10.465031913881,1
28,-1075.84189724316,-457.662739139189,18,6,-86.7181291074655,25.7809205905407,1
29,945.775733466704,317.884622442926,8,3,-84.6467906087736,10.3827190234917,1
30,375.523995161099,292.562738392128,9,3,-85.28151169452,12.7916351120601,1
31,-435.06039330265,-674.296198416548,15,5,-84.537245259685,7.55142745163944,1
32,46.3691703425434,-1200.92163790661,14,5,-98.1518893737366,11.3150362056287,1
