realization_id,sector_id,site_id,scenario_name,impaired_sector_id,sector_status,is_impaired_sector,attached_ue_count,active_ue_count,offered_traffic_Mbps,served_traffic_Mbps,unserved_traffic_Mbps,sector_load_ratio,mean_RSRP_dBm,median_RSRP_dBm,mean_SINR_dB,median_SINR_dB,mean_UE_throughput_Mbps,median_UE_throughput_Mbps,qos_satisfaction_ratio,boundary_ue_ratio,handover_risk_score,attach_rate_sector,cod_label
1,1,1,normal,0,normal,0,25,3,11.7181191998241,11.7181191998241,0,0.308957885363262,-87.0151648632805,-89.6915708035781,6.70813602517033,4.10282830741739,3.90603973327469,2.73735668125022,1,0.24,0.24,0.925925925925926,normal
1,2,1,normal,0,normal,0,27,4,15.9936509592441,15.9936509592441,0,0.372875740200322,-84.5952189352357,-85.5722670131742,8.51911153826867,6.776328520053,3.99841273981102,3.2288491498376,1,0.222222222222222,0.222222222222222,0.931034482758621,normal
1,3,1,normal,0,normal,0,14,1,5.51380783667826,5.51380783667826,0,0.136937944959388,-87.9428746527172,-88.526148956695,7.82574844638613,7.34758401141221,5.51380783667826,5.51380783667826,1,0.0714285714285714,0.0714285714285714,0.875,normal
1,4,2,normal,0,normal,0,22,3,12.5515982430913,12.5515982430913,0,0.272282247913241,-88.9290303467552,-91.5178142600131,9.04503677923623,7.69657722723511,4.18386608103043,4.81842980748056,1,0.272727272727273,0.272727272727273,1,normal
1,5,2,normal,0,normal,0,29,5,22.7847059492305,22.7847059492305,0,0.586477200673618,-87.2961216430341,-88.1156678353155,7.06346182948473,5.48658146172386,4.5569411898461,4.78709172692692,1,0.206896551724138,0.206896551724138,1,normal
1,6,2,normal,0,normal,0,26,4,17.4996628667217,17.4996628667217,0,0.460156999130626,-89.6559139602915,-90.8479887854216,7.17494666646122,5.57499513507413,4.37491571668044,4.54937682963186,1,0.269230769230769,0.269230769230769,1,normal
1,7,3,normal,0,normal,0,30,8,36.4694440788035,36.4694440788035,0,0.603277815320553,-86.3223968900249,-86.6155530045023,14.2466684857415,12.2236840625217,4.55868050985044,4.57884239714375,1,0,0,0.967741935483871,normal
1,8,3,normal,0,normal,0,21,2,8.59755784436702,8.59755784436702,0,0.219320409065274,-89.794420063383,-90.0413703344659,7.18000679221281,4.10018585664134,4.29877892218351,4.29877892218351,1,0.142857142857143,0.142857142857143,0.954545454545455,normal
1,9,3,normal,0,normal,0,19,5,29.077116221888,29.077116221888,0,0.811961563038937,-88.9020335461749,-90.7316297382673,6.13264358172247,6.73253574619669,5.8154232443776,6.58473233425676,1,0.368421052631579,0.368421052631579,0.95,normal
1,10,4,normal,0,normal,0,21,1,2.27751206696676,2.27751206696676,0,0.0452089001888992,-86.5488975178306,-86.9681167244897,10.448095052671,8.54452361675594,2.27751206696676,2.27751206696676,1,0.142857142857143,0.142857142857143,1,normal
1,11,4,normal,0,normal,0,25,3,7.96132649005943,7.96132649005943,0,0.153313831752357,-89.0197422295805,-88.9331476365005,11.6801601457878,8.60080864987637,2.65377549668648,2.64950246579191,1,0.04,0.04,1,normal
1,12,4,normal,0,normal,0,22,2,10.1716835999129,10.1716835999129,0,0.257631057279016,-86.2275681156883,-85.4542966729787,7.48660180745528,7.70304017926185,5.08584179995645,5.08584179995645,1,0.136363636363636,0.136363636363636,0.956521739130435,normal
1,13,5,normal,0,normal,0,23,3,15.344943029898,15.344943029898,0,0.546113953468464,-88.8071775273016,-90.2853098018673,4.56102520736357,1.74255991953322,5.114981009966,5.85837154680153,1,0.347826086956522,0.347826086956522,1,normal
1,14,5,normal,0,normal,0,23,4,11.8886403528665,11.8886403528665,0,0.239027700536171,-90.1239637793431,-89.9926145968478,10.0542447862685,10.7022460829704,2.97216008821663,1.75034503047797,1,0.173913043478261,0.173913043478261,1,normal
1,15,5,normal,0,normal,0,20,2,9.4666036916882,9.4666036916882,0,0.211352386259968,-88.0889514318025,-91.0828040875422,8.920301283025,6.28621875176085,4.7333018458441,4.7333018458441,1,0.05,0.05,0.952380952380952,normal
1,16,6,normal,0,normal,0,18,3,17.5082491284916,17.5082491284916,0,0.479244775204696,-88.1639066866519,-86.6265851131761,6.38630966897198,6.87942152945461,5.83608304283054,5.21109310479349,1,0.222222222222222,0.222222222222222,0.857142857142857,normal
1,17,6,normal,0,normal,0,22,4,15.3525942358642,15.3525942358642,0,0.281034062025683,-85.4193778464579,-86.8984282620245,12.1775770843326,12.1526106705797,3.83814855896605,3.33537947510548,1,0.0454545454545455,0.0454545454545455,1,normal
1,18,6,normal,0,normal,0,25,1,3.57877256205135,3.57877256205135,0,0.0578089853054515,-85.6641255517487,-87.826665569999,14.0910072688204,13.8131137124504,3.57877256205135,3.57877256205135,1,0.08,0.08,1,normal
1,19,7,normal,0,normal,0,29,7,27.9999777396387,27.9999777396387,0,0.583089847399733,-87.7864568467944,-90.3758982193005,9.8298179962874,8.05828119980165,3.99999681994839,3.70633010659605,1,0.137931034482759,0.137931034482759,0.935483870967742,normal
1,20,7,normal,0,normal,0,19,3,14.3125398218174,14.3125398218174,0,0.327149557563763,-84.9947151236477,-84.3727377634909,9.16549223510616,6.67372759723045,4.77084660727245,3.91874332158135,1,0.210526315789474,0.210526315789474,0.904761904761905,normal
1,21,7,normal,0,normal,0,22,3,16.5510200490257,16.5510200490257,0,0.332004905865334,-85.185092503056,-85.6848988653589,10.6940340072203,10.1911469556623,5.51700668300856,6.08221701835599,1,0.318181818181818,0.318181818181818,1,normal
2,1,1,normal,0,normal,0,19,3,19.3628540076195,19.3628540076195,0,0.773851984859996,-90.9837942193873,-90.290919795981,3.44147235384943,4.42003273019387,6.45428466920649,6.38283022194809,1,0.263157894736842,0.263157894736842,0.95,normal
2,2,1,normal,0,normal,0,20,0,0,0,0,0,-89.3627732660631,-90.7299812377518,4.37274102259549,2.9784801140157,0,0,1,0.35,0.35,0.952380952380952,normal
2,3,1,normal,0,normal,0,26,4,22.0540096328643,22.0540096328643,0,0.550280174921691,-84.8056716038598,-87.2456679431276,7.42129005208222,5.01311145723976,5.51350240821606,5.62956876435147,1,0.269230769230769,0.269230769230769,0.962962962962963,normal
2,4,2,normal,0,normal,0,21,2,4.99715190784493,4.99715190784493,0,0.109927623820119,-90.3499782093445,-93.0016582166538,9.12769257277338,8.9802058450634,2.49857595392246,2.49857595392246,1,0.0952380952380952,0.0952380952380952,0.91304347826087,normal
2,5,2,normal,0,normal,0,20,3,14.2833384017653,14.2833384017653,0,0.413595978036556,-89.8223591076697,-91.3344875443734,5.47463223854159,2.4910617158363,4.76111280058843,5.44386323110651,1,0.35,0.35,0.952380952380952,normal
2,6,2,normal,0,normal,0,21,5,24.1931196762706,24.1931196762706,0,0.629041122785729,-89.3321220780984,-90.2053057985563,6.84318886034514,6.33325457474836,4.83862393525412,5.0033295466385,1,0.285714285714286,0.285714285714286,1,normal
2,7,3,normal,0,normal,0,25,1,2.7038155962103,2.7038155962103,0,0.0543898097879504,-89.475331985523,-92.7337635403476,10.4586253862537,8.43683385209741,2.7038155962103,2.7038155962103,1,0.12,0.12,1,normal
