oracle_group_id,scenario_name,realization_id,source_sector_id,target_sector_id,module_name,selected_action_id_raw,selected_action_id_safe,raw_action_type,safe_action_type,raw_predicted_reward,safe_predicted_reward,raw_true_reward,safe_true_reward,raw_selected_safety_valid,safe_selected_safety_valid,safety_filter_changed_action,fallback_used,noop_selected,selection_reason,delta_prs_dB,delta_tilt_deg,delta_cio_dB,delta_hom_dB,delta_ttt_ms,es_action,oracle_action_id,oracle_reward,raw_regret,safety_enforced_regret,raw_top1_oracle_match,safe_top1_oracle_match,safe_top2_oracle_match
75,mixed_conflict,1,14,17,LB/MLB,9097,9097,cio_bias_to_neighbor,cio_bias_to_neighbor,0.257872381918437,0.257872381918437,0.26125,0.26125,1,1,0,0,0,safe_best_predicted,0,0,3,0,0,,9097,0.26125,0,0,1,1,1
76,mixed_conflict,1,16,20,LB/MLB,9114,9105,cio_bias_to_neighbor,cio_bias_to_neighbor,-0.0799656308882922,-0.127634990048632,-0.0947502984267834,-0.1275,0,1,1,0,0,safe_best_predicted,0,0,-3,0,0,,9105,-0.1275,-0.0327497015732166,0,0,1,1
77,mixed_conflict,1,19,20,LB/MLB,9118,9126,cio_bias_to_neighbor,cio_bias_to_neighbor,-0.133758686848612,-0.133758686848612,-0.1338,-0.1338,0,1,1,0,0,safe_best_predicted,0,0,-3,0,0,,9126,-0.1338,0,0,0,1,1
78,mixed_conflict,1,20,0,LB/MLB,9129,9129,no_op,no_op,-0.000527324133679849,-0.000527324133679849,0,0,1,1,0,0,1,safe_best_predicted,0,0,0,0,0,,9129,0,0,0,1,1,1
79,mixed_conflict,1,21,20,LB/MLB,9144,9152,cio_bias_to_neighbor,cio_bias_to_neighbor,-0.133916477732956,-0.133916477732956,-0.1338,-0.1338,0,1,1,0,0,safe_best_predicted,0,0,-3,0,0,,9152,-0.1338,0,0,0,1,1
81,overload,1,2,1,LB/MLB,9179,9179,cio_bias_to_neighbor,cio_bias_to_neighbor,0.19260091246556,0.19260091246556,0.184543373614499,0.184543373614499,1,1,0,0,0,safe_best_predicted,0,0,3,0,0,,9179,0.184543373614499,0,0,1,1,1
82,overload,1,4,1,LB/MLB,9188,9188,cio_bias_to_neighbor,cio_bias_to_neighbor,0.192136433857955,0.192136433857955,0.184543373614499,0.184543373614499,1,1,0,0,0,safe_best_predicted,0,0,3,0,0,,9188,0.184543373614499,0,0,1,1,1
83,overload,1,5,1,LB/MLB,9197,9197,cio_bias_to_neighbor,cio_bias_to_neighbor,0.192213061331476,0.192213061331476,0.184543373614499,0.184543373614499,1,1,0,0,0,safe_best_predicted,0,0,3,0,0,,9197,0.184543373614499,0,0,1,1,1
84,overload,1,6,0,LB/MLB,9209,9207,cio_bias_to_neighbor,no_op,-0.133700236665076,-0.191956845995175,-0.1338,0,0,0,1,1,1,no_safe_action_fallback_noop,0,0,0,0,0,,9207,0,0.1338,0,0,1,1
85,overload,1,8,7,LB/MLB,9227,9227,cio_bias_to_neighbor,cio_bias_to_neighbor,-0.0754510912684237,-0.0754510912684237,-0.0675551058668644,-0.0675551058668644,1,1,0,0,0,safe_best_predicted,0,0,3,0,0,,9227,-0.0675551058668644,0,0,1,1,1
86,overload,1,9,1,LB/MLB,9236,9236,cio_bias_to_neighbor,cio_bias_to_neighbor,0.193613343713998,0.193613343713998,0.184543373614499,0.184543373614499,1,1,0,0,0,safe_best_predicted,0,0,3,0,0,,9236,0.184543373614499,0,0,1,1,1
87,overload,1,10,0,LB/MLB,9246,9246,no_op,no_op,-0.0892107496732443,-0.0892107496732443,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,0,0,0,,9246,0,0,0,1,1,1
88,overload,1,11,0,LB/MLB,9261,9259,cio_bias_to_neighbor,no_op,-0.133789008722088,-0.271557650908882,-0.1338,0,0,0,1,1,1,no_safe_action_fallback_noop,0,0,0,0,0,,9259,0,0.1338,0,0,1,1
89,overload,1,12,0,LB/MLB,9272,9272,no_op,no_op,-0.0851192821054908,-0.0851192821054908,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,0,0,0,,9272,0,0,0,1,1,1
90,overload,1,13,0,LB/MLB,9285,9285,no_op,no_op,-0.0873060046283928,-0.0873060046283928,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,0,0,0,,9285,0,0,0,1,1,1
91,overload,1,14,17,LB/MLB,9305,9305,cio_bias_to_neighbor,cio_bias_to_neighbor,-0.0300884997729989,-0.0300884997729989,-0.0294387501523238,-0.0294387501523238,1,1,0,0,0,safe_best_predicted,0,0,3,0,0,,9305,-0.0294387501523238,0,0,1,1,1
92,overload,1,15,17,LB/MLB,9314,9314,cio_bias_to_neighbor,cio_bias_to_neighbor,0.260402700543997,0.260402700543997,0.26125,0.26125,1,1,0,0,0,safe_best_predicted,0,0,3,0,0,,9314,0.26125,0,0,1,1,1
93,overload,1,16,3,LB/MLB,9332,9332,cio_bias_to_neighbor,cio_bias_to_neighbor,0.0302179721162964,0.0302179721162964,0.0428336777262986,0.0428336777262986,1,1,0,0,0,safe_best_predicted,0,0,6,0,0,,9332,0.0428336777262986,0,0,1,1,1
94,overload,1,18,0,LB/MLB,9337,9337,no_op,no_op,-0.00140181645276361,-0.00140181645276361,0,0,1,1,0,0,1,safe_best_predicted,0,0,0,0,0,,9337,0,0,0,1,1,1
95,overload,1,19,0,LB/MLB,9350,9350,no_op,no_op,-0.0828531508490118,-0.0828531508490118,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,0,0,0,,9350,0,0,0,1,1,1
96,overload,1,20,3,LB/MLB,9366,9366,cio_bias_to_neighbor,cio_bias_to_neighbor,0.258837036692868,0.258837036692868,0.26125,0.26125,1,1,0,0,0,safe_best_predicted,0,0,3,0,0,,9366,0.26125,0,0,1,1,1
97,overload,1,21,0,LB/MLB,9378,9376,cio_bias_to_neighbor,no_op,-0.133805856388831,-0.186008102632537,-0.1338,0,0,0,1,1,1,no_safe_action_fallback_noop,0,0,0,0,0,,9376,0,0.1338,0,0,1,1
