split,scenario_name,metric_name,metric_value,module_name,model_type
train,overload,RMSE,0.00428942215202427,LB/MLB,LSBoost
train,overload,R2,0.999208274679944,LB/MLB,LSBoost
train,overload,mean_error,-2.74393134141056e-05,LB/MLB,LSBoost
train,overload,median_absolute_error,0.000124316780206524,LB/MLB,LSBoost
train,overload,spearman_rho,0.98940405413109,LB/MLB,LSBoost
test,ALL,MAE,0.14597458008953,LB/MLB,LSBoost
test,ALL,RMSE,0.258121873053212,LB/MLB,LSBoost
test,ALL,R2,-0.0402353502243156,LB/MLB,LSBoost
test,ALL,mean_error,0.127534768456081,LB/MLB,LSBoost
test,ALL,median_absolute_error,0.00146423547670834,LB/MLB,LSBoost
test,ALL,spearman_rho,0.539640730840171,LB/MLB,LSBoost
test,degraded_sector,MAE,0.0142827523609913,LB/MLB,LSBoost
test,degraded_sector,RMSE,0.0562673278824226,LB/MLB,LSBoost
test,degraded_sector,R2,0.806429930987291,LB/MLB,LSBoost
test,degraded_sector,mean_error,0.000717638735414476,LB/MLB,LSBoost
test,degraded_sector,median_absolute_error,0.000399146132429112,LB/MLB,LSBoost
test,degraded_sector,spearman_rho,0.924431066573329,LB/MLB,LSBoost
test,handover_stress,MAE,0.019898847001096,LB/MLB,LSBoost
test,handover_stress,RMSE,0.074091529817994,LB/MLB,LSBoost
test,handover_stress,R2,0.724486806504817,LB/MLB,LSBoost
test,handover_stress,mean_error,0.00250035131028589,LB/MLB,LSBoost
test,handover_stress,median_absolute_error,0.000761095124159325,LB/MLB,LSBoost
test,handover_stress,spearman_rho,0.886987111216617,LB/MLB,LSBoost
test,mixed_conflict,MAE,0.168383928159382,LB/MLB,LSBoost
test,mixed_conflict,RMSE,0.280484796041157,LB/MLB,LSBoost
test,mixed_conflict,R2,-0.206586066434522,LB/MLB,LSBoost
test,mixed_conflict,mean_error,0.151738503768746,LB/MLB,LSBoost
test,mixed_conflict,median_absolute_error,0.00514266317052503,LB/MLB,LSBoost
test,mixed_conflict,spearman_rho,0.429527706814899,LB/MLB,LSBoost
test,normal,MAE,0.0123300259244986,LB/MLB,LSBoost
test,normal,RMSE,0.0465348105082038,LB/MLB,LSBoost
test,normal,R2,0.895374959829462,LB/MLB,LSBoost
test,normal,mean_error,-0.0096913240204576,LB/MLB,LSBoost
test,normal,median_absolute_error,0.000249068562106266,LB/MLB,LSBoost
test,normal,spearman_rho,0.939854202826506,LB/MLB,LSBoost
test,outage_sector,MAE,0.00638138819084701,LB/MLB,LSBoost
test,outage_sector,RMSE,0.018018559400434,LB/MLB,LSBoost
test,outage_sector,R2,0.979965577801223,LB/MLB,LSBoost
test,outage_sector,mean_error,-0.00407874058479444,LB/MLB,LSBoost
test,outage_sector,median_absolute_error,0.000509351112249312,LB/MLB,LSBoost
test,outage_sector,spearman_rho,0.973908526311357,LB/MLB,LSBoost
test,overload,MAE,0.169462859891563,LB/MLB,LSBoost
test,overload,RMSE,0.277133384140424,LB/MLB,LSBoost
test,overload,R2,-0.154010562831538,LB/MLB,LSBoost
test,overload,mean_error,0.148451911250408,LB/MLB,LSBoost
test,overload,median_absolute_error,0.00805753885106097,LB/MLB,LSBoost
test,overload,spearman_rho,0.458290719060784,LB/MLB,LSBoost
test,ALL,top1_oracle_match,0.597883597883598,LB/MLB,ranking
test,ALL,top2_oracle_match,0.656084656084656,LB/MLB,ranking
test,ALL,mean_oracle_regret,0.00993053006728737,LB/MLB,ranking
test,ALL,median_oracle_regret,0,LB/MLB,ranking
test,ALL,max_oracle_regret,0.347832966049175,LB/MLB,ranking
test,ALL,test_groups_with_unsafe_top1,100,LB/MLB,ranking
train,ALL,MAE,7.45510232690137e-06,ES,LSBoost
train,ALL,RMSE,1.48848415701094e-05,ES,LSBoost
train,ALL,R2,0.999999995427371,ES,LSBoost
train,ALL,mean_error,4.05618438068872e-06,ES,LSBoost
train,ALL,median_absolute_error,6.34919776343335e-06,ES,LSBoost
train,ALL,spearman_rho,0.999706290730111,ES,LSBoost
train,degraded_sector,MAE,6.60110928870395e-06,ES,LSBoost
train,degraded_sector,RMSE,1.02071232430902e-05,ES,LSBoost
train,degraded_sector,R2,0.999999997345632,ES,LSBoost
train,degraded_sector,mean_error,4.81767635798655e-06,ES,LSBoost
train,degraded_sector,median_absolute_error,1.96166713087309e-06,ES,LSBoost
train,degraded_sector,spearman_rho,0.999463269721953,ES,LSBoost
train,handover_stress,MAE,6.73841949011001e-06,ES,LSBoost
train,handover_stress,RMSE,9.58075241534488e-06,ES,LSBoost
train,handover_stress,R2,0.999999998073395,ES,LSBoost
train,handover_stress,mean_error,5.21439052278477e-06,ES,LSBoost
train,handover_stress,median_absolute_error,6.42401352930755e-06,ES,LSBoost
train,handover_stress,spearman_rho,0.999645452922733,ES,LSBoost
train,low_load,MAE,7.20747069446272e-06,ES,LSBoost
train,low_load,RMSE,1.1676789543187e-05,ES,LSBoost
train,low_load,R2,0.999999997263878,ES,LSBoost
train,low_load,mean_error,4.39435029843665e-06,ES,LSBoost
train,low_load,median_absolute_error,7.34565496862682e-06,ES,LSBoost
train,low_load,spearman_rho,0.999638483710544,ES,LSBoost
train,low_load_energy_saving_candidate,MAE,7.98511713978527e-06,ES,LSBoost
train,low_load_energy_saving_candidate,RMSE,1.81828621142823e-05,ES,LSBoost
train,low_load_energy_saving_candidate,R2,0.999999993406309,ES,LSBoost
train,low_load_energy_saving_candidate,mean_error,3.17061877796747e-06,ES,LSBoost
train,low_load_energy_saving_candidate,median_absolute_error,7.2235614721472e-06,ES,LSBoost
train,low_load_energy_saving_candidate,spearman_rho,0.999750788750093,ES,LSBoost
train,mixed_conflict,MAE,5.82998622251918e-06,ES,LSBoost
train,mixed_conflict,RMSE,8.24484558433491e-06,ES,LSBoost
train,mixed_conflict,R2,0.999999995076326,ES,LSBoost
train,mixed_conflict,mean_error,5.82998622251918e-06,ES,LSBoost
train,mixed_conflict,median_absolute_error,5.82998622251918e-06,ES,LSBoost
train,mixed_conflict,spearman_rho,NaN,ES,LSBoost
train,normal,MAE,6.69881581827245e-06,ES,LSBoost
train,normal,RMSE,9.54321724907637e-06,ES,LSBoost
train,normal,R2,0.999999998079603,ES,LSBoost
train,normal,mean_error,5.40056892018057e-06,ES,LSBoost
train,normal,median_absolute_error,5.49517059740545e-06,ES,LSBoost
train,normal,spearman_rho,0.999911047856078,ES,LSBoost
train,outage_sector,MAE,7.17826142564432e-06,ES,LSBoost
train,outage_sector,RMSE,1.74563575649954e-05,ES,LSBoost
train,outage_sector,R2,0.999999991536218,ES,LSBoost
train,outage_sector,mean_error,5.70408387313812e-06,ES,LSBoost
train,outage_sector,median_absolute_error,5.76259038412297e-06,ES,LSBoost
train,outage_sector,spearman_rho,0.998159829474797,ES,LSBoost
train,overload,MAE,3.58601423715299e-06,ES,LSBoost
train,overload,RMSE,5.07138996904477e-06,ES,LSBoost
train,overload,R2,0.999999995981407,ES,LSBoost
train,overload,mean_error,-3.58601423715299e-06,ES,LSBoost
train,overload,median_absolute_error,3.58601423715299e-06,ES,LSBoost
train,overload,spearman_rho,NaN,ES,LSBoost
test,ALL,MAE,0.0689361673989899,ES,LSBoost
test,ALL,RMSE,0.153489963691104,ES,LSBoost
test,ALL,R2,0.411707210367645,ES,LSBoost
test,ALL,mean_error,0.0689284702883325,ES,LSBoost
test,ALL,median_absolute_error,9.76318690254496e-06,ES,LSBoost
test,ALL,spearman_rho,0.692957259108332,ES,LSBoost
test,degraded_sector,MAE,0.0813164091593595,ES,LSBoost
test,degraded_sector,RMSE,0.178626818090206,ES,LSBoost
test,degraded_sector,R2,0.00624771497431831,ES,LSBoost
test,degraded_sector,mean_error,0.0813133167717463,ES,LSBoost
test,degraded_sector,median_absolute_error,1.45468564934359e-05,ES,LSBoost
test,degraded_sector,spearman_rho,0.595228261803453,ES,LSBoost
test,handover_stress,MAE,0.0797827055683581,ES,LSBoost
test,handover_stress,RMSE,0.158659644088101,ES,LSBoost
test,handover_stress,R2,0.30219218502979,ES,LSBoost
test,handover_stress,mean_error,0.0797819435538744,ES,LSBoost
test,handover_stress,median_absolute_error,1.45468564934359e-05,ES,LSBoost
test,handover_stress,spearman_rho,0.588770894006926,ES,LSBoost
test,low_load,MAE,0.0626798406576621,ES,LSBoost
test,low_load,RMSE,0.143997725294781,ES,LSBoost
test,low_load,R2,0.496975182086029,ES,LSBoost
test,low_load,mean_error,0.0626751821944282,ES,LSBoost
test,low_load,median_absolute_error,8.76316656212017e-06,ES,LSBoost
test,low_load,spearman_rho,0.729000110976391,ES,LSBoost
test,low_load_energy_saving_candidate,MAE,0.0758357277832637,ES,LSBoost
test,low_load_energy_saving_candidate,RMSE,0.161714100428058,ES,LSBoost
test,low_load_energy_saving_candidate,R2,0.351333947963749,ES,LSBoost
test,low_load_energy_saving_candidate,mean_error,0.0758230469176029,ES,LSBoost
test,low_load_energy_saving_candidate,median_absolute_error,1.45468564934359e-05,ES,LSBoost
test,low_load_energy_saving_candidate,spearman_rho,0.661543951348558,ES,LSBoost
test,mixed_conflict,MAE,4.87071075969125e-06,ES,LSBoost
test,mixed_conflict,RMSE,6.08285810436617e-06,ES,LSBoost
test,mixed_conflict,R2,0.999999999056494,ES,LSBoost
test,mixed_conflict,mean_error,-9.71400281722194e-07,ES,LSBoost
test,mixed_conflict,median_absolute_error,5.84896571695359e-06,ES,LSBoost
test,mixed_conflict,spearman_rho,1,ES,LSBoost
test,normal,MAE,0.0176476338270264,ES,LSBoost
test,normal,RMSE,0.0768744180395546,ES,LSBoost
test,normal,R2,0.871789571950372,ES,LSBoost
test,normal,mean_error,0.0176439440726844,ES,LSBoost
test,normal,median_absolute_error,8.76316656212017e-06,ES,LSBoost
test,normal,spearman_rho,0.91593115258354,ES,LSBoost
test,outage_sector,MAE,0.081007159096952,ES,LSBoost
test,outage_sector,RMSE,0.172429941325486,ES,LSBoost
test,outage_sector,R2,-0.0236253831255053,ES,LSBoost
test,outage_sector,mean_error,0.0810067209386239,ES,LSBoost
test,outage_sector,median_absolute_error,7.26287847312157e-06,ES,LSBoost
test,outage_sector,spearman_rho,0.604425031437026,ES,LSBoost
test,overload,MAE,7.27342824671795e-06,ES,LSBoost
test,overload,RMSE,1.02861808714561e-05,ES,LSBoost
test,overload,R2,0.999999997542621,ES,LSBoost
test,overload,mean_error,7.27342824671795e-06,ES,LSBoost
test,overload,median_absolute_error,7.27342824671795e-06,ES,LSBoost
test,overload,spearman_rho,NaN,ES,LSBoost
test,ALL,top1_oracle_match,0.399103139013453,ES,ranking
test,ALL,top2_oracle_match,1,ES,ranking
test,ALL,mean_oracle_regret,0.0497568449341838,ES,ranking
test,ALL,median_oracle_regret,0.0300694652541914,ES,ranking
test,ALL,max_oracle_regret,0.189837046812872,ES,ranking
test,ALL,test_groups_with_unsafe_top1,134,ES,ranking
train,ALL,MAE,0.00015772949335306,HO/MRO,LSBoost
train,ALL,RMSE,0.000247207326210013,HO/MRO,LSBoost
train,ALL,R2,0.999905003447082,HO/MRO,LSBoost
train,ALL,mean_error,-2.30694987532931e-06,HO/MRO,LSBoost
train,ALL,median_absolute_error,9.88359000676925e-05,HO/MRO,LSBoost
train,ALL,spearman_rho,0.99637920618629,HO/MRO,LSBoost
train,degraded_sector,MAE,0.000158419063243417,HO/MRO,LSBoost
train,degraded_sector,RMSE,0.00024832935700567,HO/MRO,LSBoost
train,degraded_sector,R2,0.999904592979843,HO/MRO,LSBoost
train,degraded_sector,mean_error,-2.44691669792493e-06,HO/MRO,LSBoost
train,degraded_sector,median_absolute_error,9.88359000675954e-05,HO/MRO,LSBoost
train,degraded_sector,spearman_rho,0.996982303656054,HO/MRO,LSBoost
train,handover_stress,MAE,0.000142897637875589,HO/MRO,LSBoost
train,handover_stress,RMSE,0.000221361730649633,HO/MRO,LSBoost
train,handover_stress,R2,0.999919749894307,HO/MRO,LSBoost
train,handover_stress,mean_error,-4.18977012314105e-07,HO/MRO,LSBoost
train,handover_stress,median_absolute_error,8.26614401812156e-05,HO/MRO,LSBoost
train,handover_stress,spearman_rho,0.995172655374858,HO/MRO,LSBoost
train,low_load,MAE,0.000198336046619638,HO/MRO,LSBoost
