sector_id,site_id,azimuth_deg,attached_ue_count,active_ue_count,active_attached_ue_count,offered_traffic_Mbps,served_traffic_Mbps,unserved_traffic_Mbps,sector_capacity_Mbps,sector_load_ratio,mean_RSRP_dBm,median_RSRP_dBm,mean_SINR_dB,median_SINR_dB,mean_UE_throughput_Mbps,median_UE_throughput_Mbps,qos_satisfaction_ratio,overload_flag
1,1,30,13,4,4,16.2486912521057,16.2486912521057,0,49.7912963312864,0.32633597534788,-85.5503972206374,-86.8407933581074,10.3344591492966,10.4201949625117,4.06217281302642,3.90483226994719,1,0
2,1,150,22,2,2,10.1218844424674,10.1218844424674,0,41.3654733949222,0.244694031320089,-86.1333431386925,-86.3005274050616,8.208967967445,5.12238657082889,5.06094222123369,5.06094222123369,1,0
3,1,270,23,5,5,22.9753950660873,22.9753950660873,0,33.4871641553471,0.686095572605202,-87.3176432843084,-88.6851134720523,5.69700580590055,4.02243564273351,4.59507901321745,4.91134124977659,1,0
4,2,30,24,1,1,7.47964408141439,7.47964408141439,0,55.9365448599305,0.13371659082884,-87.6522679601982,-90.436718593669,11.9784768357406,11.4704644298738,7.47964408141439,7.47964408141439,1,0
5,2,150,26,4,4,15.720274821961,15.720274821961,0,33.9015863021969,0.463703222670213,-88.9192265788546,-89.6826087259483,5.74137216165672,4.56308262574071,3.93006870549026,3.79185243497748,1,0
6,2,270,26,1,1,6.47329819796132,6.47329819796132,0,41.8901539021261,0.154530303543066,-91.5891253036479,-92.2575393529815,8.3150009313893,8.21645728080615,6.47329819796132,6.47329819796132,1,0
7,3,30,23,4,4,22.856172283592,22.856172283592,0,59.8766959000659,0.381720666780594,-87.1756557117924,-88.2169673341703,13.0111997059527,14.3953900867623,5.71404307089801,6.12799563082516,1,0
8,3,150,33,7,7,27.4747047062965,27.4747047062965,0,42.5092289482998,0.64632328993103,-88.3128813805098,-89.4824691673178,8.33738305990662,5.87898343584479,3.92495781518522,4.37319108320001,1,0
9,3,270,22,4,4,14.5189074807203,14.5189074807203,0,42.1613591272738,0.344365261966334,-84.0456657127443,-84.7275504477005,8.18076693515316,5.94593327563523,3.62972687018008,2.74179212951034,1,0
10,4,30,25,3,3,15.6350149677399,15.6350149677399,0,42.8728088576986,0.364683709426059,-87.6466992548692,-89.090929083239,7.91662287487146,9.1588180710189,5.21167165591332,4.37644155559147,1,0
11,4,150,22,2,2,7.57670720347156,7.57670720347156,0,47.0552967990616,0.161017095181146,-88.8948755117851,-90.4208514210981,9.98768182451091,7.65030221943893,3.78835360173578,3.78835360173578,1,0
12,4,270,27,1,1,1.4766682615429,1.4766682615429,0,33.1915624640902,0.0444892663049682,-88.9105232334278,-91.0446833336308,5.63254208854971,2.03501338086627,1.4766682615429,1.4766682615429,1,0
13,5,30,17,4,4,11.9190804297649,11.9190804297649,0,50.9575098279004,0.233902332944043,-82.2239187929964,-82.9346959290611,11.4607284596707,9.30581376209746,2.97977010744122,2.6474160756891,1,0
14,5,150,28,3,3,16.532799307261,16.532799307261,0,52.3259837953897,0.315957734725241,-89.668359627558,-89.995681549539,10.9252884395577,11.2449498031689,5.51093310242033,5.52849698789496,1,0
15,5,270,25,5,5,21.203153677753,21.203153677753,0,48.8312701208346,0.434212618784748,-86.2939086688513,-86.1232964824157,10.3516935934875,8.35122831185965,4.2406307355506,3.41661239186928,1,0
16,6,30,19,3,3,17.6907471042427,17.6907471042427,0,26.7196584067836,0.662087322933419,-90.6416251152966,-92.0187218137426,3.59541315837508,1.68414079544156,5.89691570141425,7.56089465268754,1,0
17,6,150,24,3,3,17.8630268732068,17.8630268732068,0,40.4117778594379,0.442025266379986,-89.3716870940475,-90.6158881566903,7.50806156900237,6.7240765653492,5.95434229106895,6.73173137056434,1,0
18,6,270,27,6,6,30.3060706454959,30.3060706454959,0,60.0464163979457,0.504710729856857,-87.4698532558352,-86.7181291074655,13.4892969919554,11.2409240971693,5.05101177424932,5.43425819655187,1,0
19,7,30,24,5,5,26.8930189526888,26.8930189526888,0,35.6798636653743,0.753730989695099,-89.3121102819908,-87.8884156575396,6.48026681675229,6.78056694485559,5.37860379053776,6.44665795350784,1,0
20,7,150,16,2,2,13.0099846818981,13.0099846818981,0,37.6870053531332,0.345211421284139,-87.0084066875333,-88.1668778429572,6.87556186827091,5.27003632932649,6.50499234094903,6.50499234094903,1,0
21,7,270,25,5,5,29.3115041799137,29.3115041799137,0,60.9825753012369,0.480653761096887,-84.8394275727211,-82.8226228241485,13.2121705598789,15.7596122601533,5.86230083598274,6.65113705269845,1,0
