coordinator_group_id,oracle_group_id,scenario_name,realization_id,module_name,module_priority,decision_source_sector_id,decision_target_sector_id,source_sector_id,target_sector_id,selected_action_id_safe,safe_action_type,safe_selected_safety_valid,fallback_used,noop_selected,safety_enforced_regret,predicted_reward,true_reward,delta_prs_dB,delta_tilt_deg,delta_cio_dB,delta_hom_dB,delta_ttt_ms,es_action,coordinator_affected_sector_id,application_affected_sector_id,application_state_variable,affected_parameter,action_scope,affected_sector_id
16,79,mixed_conflict,1,LB/MLB,3,21,20,21,20,9152,cio_bias_to_neighbor,1,0,0,0,-0.133916477732956,-0.1338,0,0,-3,0,0,,21,20,sectors.cio_dB,CIO_bias,source_neighbor,21
17,81,overload,1,LB/MLB,3,2,1,2,1,9179,cio_bias_to_neighbor,1,0,0,0,0.19260091246556,0.184543373614499,0,0,3,0,0,,2,1,sectors.cio_dB,CIO_bias,source_neighbor,2
17,82,overload,1,LB/MLB,3,4,1,4,1,9188,cio_bias_to_neighbor,1,0,0,0,0.192136433857955,0.184543373614499,0,0,3,0,0,,4,1,sectors.cio_dB,CIO_bias,source_neighbor,4
17,83,overload,1,LB/MLB,3,5,1,5,1,9197,cio_bias_to_neighbor,1,0,0,0,0.192213061331476,0.184543373614499,0,0,3,0,0,,5,1,sectors.cio_dB,CIO_bias,source_neighbor,5
17,84,overload,1,LB/MLB,3,6,0,6,0,9207,no_op,0,1,1,0,-0.191956845995175,0,0,0,0,0,0,,0,0,none,none,no_op,0
17,85,overload,1,LB/MLB,3,8,7,8,7,9227,cio_bias_to_neighbor,1,0,0,0,-0.0754510912684237,-0.0675551058668644,0,0,3,0,0,,8,7,sectors.cio_dB,CIO_bias,source_neighbor,8
17,86,overload,1,LB/MLB,3,9,1,9,1,9236,cio_bias_to_neighbor,1,0,0,0,0.193613343713998,0.184543373614499,0,0,3,0,0,,9,1,sectors.cio_dB,CIO_bias,source_neighbor,9
17,87,overload,1,LB/MLB,3,10,0,10,0,9246,no_op,0,1,1,0,-0.0892107496732443,0,0,0,0,0,0,,0,0,none,none,no_op,0
17,88,overload,1,LB/MLB,3,11,0,11,0,9259,no_op,0,1,1,0,-0.271557650908882,0,0,0,0,0,0,,0,0,none,none,no_op,0
17,89,overload,1,LB/MLB,3,12,0,12,0,9272,no_op,0,1,1,0,-0.0851192821054908,0,0,0,0,0,0,,0,0,none,none,no_op,0
17,90,overload,1,LB/MLB,3,13,0,13,0,9285,no_op,0,1,1,0,-0.0873060046283928,0,0,0,0,0,0,,0,0,none,none,no_op,0
17,91,overload,1,LB/MLB,3,14,17,14,17,9305,cio_bias_to_neighbor,1,0,0,0,-0.0300884997729989,-0.0294387501523238,0,0,3,0,0,,14,17,sectors.cio_dB,CIO_bias,source_neighbor,14
17,92,overload,1,LB/MLB,3,15,17,15,17,9314,cio_bias_to_neighbor,1,0,0,0,0.260402700543997,0.26125,0,0,3,0,0,,15,17,sectors.cio_dB,CIO_bias,source_neighbor,15
17,93,overload,1,LB/MLB,3,16,3,16,3,9332,cio_bias_to_neighbor,1,0,0,0,0.0302179721162964,0.0428336777262986,0,0,6,0,0,,16,3,sectors.cio_dB,CIO_bias,source_neighbor,16
17,94,overload,1,LB/MLB,3,18,0,18,0,9337,no_op,1,0,1,0,-0.00140181645276361,0,0,0,0,0,0,,0,0,none,none,no_op,0
17,95,overload,1,LB/MLB,3,19,0,19,0,9350,no_op,0,1,1,0,-0.0828531508490118,0,0,0,0,0,0,,0,0,none,none,no_op,0
17,96,overload,1,LB/MLB,3,20,3,20,3,9366,cio_bias_to_neighbor,1,0,0,0,0.258837036692868,0.26125,0,0,3,0,0,,20,3,sectors.cio_dB,CIO_bias,source_neighbor,20
17,97,overload,1,LB/MLB,3,21,0,21,0,9376,no_op,0,1,1,0,-0.186008102632537,0,0,0,0,0,0,,0,0,none,none,no_op,0
18,99,mixed_conflict,2,LB/MLB,3,1,0,1,0,9402,no_op,0,1,1,0,-0.0900057319360035,0,0,0,0,0,0,,0,0,none,none,no_op,0
18,100,mixed_conflict,2,LB/MLB,3,3,2,3,2,9425,cio_bias_to_neighbor,1,0,0,0,-0.127660944711165,-0.1275,0,0,-3,0,0,,3,2,sectors.cio_dB,CIO_bias,source_neighbor,3
