model_name,target,split,scenario_name,MAE,RMSE,R2,mean_error,median_absolute_error
TP_model,next_sector_load_ratio,validation,ALL,0.305444752791112,0.517154499648262,0.688397319160068,0.00917415420268724,0.152007802546025
TP_model,next_sector_load_ratio,validation,normal,0.222893427513162,0.331682962265764,0.393213673130443,0.0120875999829087,0.139486409385915
TP_model,next_sector_load_ratio,validation,low_load,0.0573130803840922,0.0842003069031103,-0.381508289550392,0.0163553224748935,0.0373007338936323
TP_model,next_sector_load_ratio,validation,overload,0.481410738251478,0.701351519413002,0.538161255688437,0.0369903650156999,0.29929680992205
TP_model,next_sector_load_ratio,validation,handover_stress,0.250764499284369,0.379228842703847,0.418186419877617,0.00425201995602133,0.151696003017125
TP_model,next_sector_load_ratio,validation,mixed_conflict,0.514842018522457,0.764481611597576,0.5914514754781,-0.0238145364160872,0.32575673593639
TP_model,next_sector_load_ratio,test,ALL,0.382575368438888,0.616766918838168,0.644502721759775,0.00198336860658245,0.208102061381206
TP_model,next_sector_load_ratio,test,normal,0.277381266297925,0.384605223740552,0.239089646491751,0.0066875416186764,0.201714477892115
TP_model,next_sector_load_ratio,test,low_load,0.0669141216906941,0.0911631293908377,-0.484559160265984,0.0170836987064011,0.0508613545642441
TP_model,next_sector_load_ratio,test,overload,0.632374965285201,0.886048685253439,0.372920111743082,-0.0578496749160885,0.446224764497905
TP_model,next_sector_load_ratio,test,handover_stress,0.301478856605915,0.429941118082704,0.200268050750738,0.00260131002510787,0.214032776983532
TP_model,next_sector_load_ratio,test,mixed_conflict,0.634727632314708,0.880819861787434,0.387270673334088,0.0413939675988154,0.455124760338285
TP_persistence,next_sector_load_ratio,validation,ALL,0.352908893195943,0.593025527685817,0.590260958450974,0.0228726898364187,0.175945650827988
TP_persistence,next_sector_load_ratio,validation,normal,0.251056994858997,0.372727248611313,0.233747779638417,0.0196499055649109,0.161037814826218
TP_persistence,next_sector_load_ratio,validation,low_load,0.0575843947458446,0.0856101571268052,-0.428159570442693,0.00219210361326783,0.0371555882299375
TP_persistence,next_sector_load_ratio,validation,overload,0.535689174597521,0.763195684701792,0.453121699376634,0.0379656136579141,0.3524959184567
TP_persistence,next_sector_load_ratio,validation,handover_stress,0.299027412187054,0.451548609726605,0.175121182214578,0.0159534077105427,0.175858311152983
TP_persistence,next_sector_load_ratio,validation,mixed_conflict,0.621186489590296,0.908723215000646,0.422738218583071,0.0386024186354578,0.39139167123131
TP_persistence,next_sector_load_ratio,test,ALL,0.448076990406806,0.710616835446853,0.528083544494016,0.00453061001296802,0.24898874410682
TP_persistence,next_sector_load_ratio,test,normal,0.33438168456394,0.480343105681751,-0.186878491667003,-0.000868063526994197,0.242000686394276
TP_persistence,next_sector_load_ratio,test,low_load,0.06767865276041,0.0950609811827694,-0.614223421446492,0.000204543267399259,0.0480489223215379
TP_persistence,next_sector_load_ratio,test,overload,0.725407976539997,0.991400917588037,0.214933701354624,0.0108321639814103,0.52989456827386
TP_persistence,next_sector_load_ratio,test,handover_stress,0.350396503604074,0.486778324367976,-0.0251536118322575,0.00582044064513729,0.250266728246744
TP_persistence,next_sector_load_ratio,test,mixed_conflict,0.762520134565611,1.03212713766967,0.158680677913731,0.00666396569788733,0.565034947052227
TP_same_hour_mean,next_sector_load_ratio,validation,ALL,0.54607639034004,0.794324169713382,0.264883577677145,0.00741676749306899,0.329704931883497
TP_same_hour_mean,next_sector_load_ratio,validation,normal,0.364798229635452,0.484401403231017,-0.294196569045327,0.310903631631458,0.244044932194885
TP_same_hour_mean,next_sector_load_ratio,validation,low_load,0.672710648534644,0.808734027461089,-126.449336562405,0.672710648534644,0.519872764614158
TP_same_hour_mean,next_sector_load_ratio,validation,overload,0.588639379727215,0.890480437046338,0.25549495483446,-0.517528461442025,0.348961283601362
TP_same_hour_mean,next_sector_load_ratio,validation,handover_stress,0.359606967448477,0.481977999284956,0.0601997382784758,0.261689277822472,0.242760437151716
TP_same_hour_mean,next_sector_load_ratio,validation,mixed_conflict,0.744626726354414,1.11391237795964,0.132615576123929,-0.690691259081205,0.417329363524133
TP_same_hour_mean,next_sector_load_ratio,test,ALL,0.716869709190835,0.955463266582742,0.146856420739208,-0.00991926277260332,0.552167835343416
TP_same_hour_mean,next_sector_load_ratio,test,normal,0.461101712073781,0.563623811919713,-0.634111935375725,0.38794865170994,0.389260086394913
TP_same_hour_mean,next_sector_load_ratio,test,low_load,0.870623095640267,0.94465720908062,-158.407057641944,0.870623095640267,0.88491581146124
TP_same_hour_mean,next_sector_load_ratio,test,overload,0.870782731112378,1.21437348617188,-0.177910394940465,-0.803868675090041,0.626234896919034
TP_same_hour_mean,next_sector_load_ratio,test,handover_stress,0.465544854920402,0.568657514867266,-0.399033290745987,0.347683318171683,0.398256157793757
TP_same_hour_mean,next_sector_load_ratio,test,mixed_conflict,0.916296152207349,1.24756839162495,-0.229201820906326,-0.851982704294864,0.670432326248208
