row_id,realization_id,scenario_name,site_id,sector_id,impaired_sector_id,attached_ue_count,active_ue_count,offered_traffic_Mbps,served_traffic_Mbps,unserved_traffic_Mbps,sector_load_ratio,mean_RSRP_dBm,median_RSRP_dBm,mean_SINR_dB,median_SINR_dB,mean_UE_throughput_Mbps,median_UE_throughput_Mbps,qos_satisfaction_ratio,boundary_ue_ratio,handover_risk_score,attach_rate_sector,cod_label
1,16,normal,2,6,0,26,3,15.6069510305994,15.6069510305994,0,0.358730702535214,-87.9354637153836,-87.7328404448619,8.41545166583991,7.27747500834148,5.20231701019981,6.27032794078552,1,0.115384615384615,0.115384615384615,0.962962962962963,normal
2,21,normal,7,19,0,23,4,20.891108295686,20.891108295686,0,0.434444016008224,-85.6641777339267,-86.110233995973,9.94296487134469,9.12428245954986,5.2227770739215,5.22239827725569,1,0.173913043478261,0.173913043478261,1,normal
3,13,normal,6,18,0,26,5,16.3352647562635,16.3352647562635,0,0.326824639260805,-89.4270603695339,-88.9078767648603,10.4392562283028,10.8882519254583,3.2670529512527,1.40828278815908,1,0.0769230769230769,0.0769230769230769,1,normal
4,11,normal,5,15,0,22,2,9.23546334505683,9.23546334505683,0,0.279635282987561,-89.8369338928975,-89.4187178086318,5.82499441325069,3.73712789016546,4.61773167252842,4.61773167252842,1,0.136363636363636,0.136363636363636,1,normal
5,18,normal,3,8,0,26,5,31.3348891351377,31.3348891351377,0,0.741115527361182,-89.1210103155205,-91.3194669132426,8.5512417820567,5.93127913977941,6.26697782702753,6.68964527392497,1,0.192307692307692,0.192307692307692,0.962962962962963,normal
6,16,normal,1,2,0,17,1,6.03479885732682,6.03479885732682,0,0.190676293842754,-88.1596593112935,-89.2293947058754,4.81513665478597,1.44992556352672,6.03479885732682,6.03479885732682,1,0.411764705882353,0.411764705882353,1,normal
7,12,normal,7,19,0,24,6,32.7436149418457,32.7436149418457,0,0.680078931218351,-87.1795164102387,-88.5798732694897,9.71559903464082,9.2203493522029,5.45726915697429,5.87382257144183,1,0.0416666666666667,0.0416666666666667,0.923076923076923,normal
8,10,normal,1,3,0,18,3,9.35068417645307,9.35068417645307,0,0.247685092077807,-86.391836912727,-87.5248446948911,6.97899381771708,6.94358242276883,3.11689472548436,3.53376268339381,1,0.0555555555555556,0.0555555555555556,1,normal
9,10,normal,6,17,0,29,2,6.76511048767699,6.76511048767699,0,0.148297257144771,-87.548139832299,-87.0467959147185,8.97916513701134,8.13794801567117,3.38255524383849,3.38255524383849,1,0.103448275862069,0.103448275862069,1,normal
10,14,normal,2,5,0,17,2,7.52701440484217,7.52701440484217,0,0.231309811621565,-89.2966991658943,-90.2196334814511,5.55205845990618,4.2449189659835,3.76350720242109,3.76350720242109,1,0.235294117647059,0.235294117647059,0.944444444444444,normal
11,18,normal,4,12,0,21,1,2.21531747935446,2.21531747935446,0,0.0501954431965919,-85.3901832785939,-85.0196119441162,8.54617164052933,8.3219259667361,2.21531747935446,2.21531747935446,1,0.142857142857143,0.142857142857143,1,normal
12,17,normal,4,11,0,29,5,24.8890271597671,24.8890271597671,0,0.501446537233634,-89.544351901454,-89.1228777016635,10.2973954255677,10.4841608048256,4.97780543195342,5.07760598774677,1,0.172413793103448,0.172413793103448,1,normal
13,16,normal,6,18,0,22,5,23.7948443034375,23.7948443034375,0,0.39931769892629,-87.6977708094899,-88.0230911939201,12.7422634868773,13.6259790685741,4.7589688606875,4.18641002357361,1,0.0909090909090909,0.0909090909090909,0.956521739130435,normal
14,17,normal,5,14,0,32,6,26.2648426139173,26.2648426139173,0,0.546565711478237,-87.2136454739,-89.4911843892218,10.3326926245095,9.9176878024718,4.37747376898621,4.82776630613283,1,0.125,0.125,1,normal
