scenario_name,realization_id,coordinator_group_id,module_name,ai_action_id,oracle_action_id,oracle_kpi_comparison_status,oracle_implementable_flag,baseline_qos,ai_qos,oracle_qos,ai_delta_qos,oracle_delta_qos,qos_gap_to_oracle,baseline_attach,ai_attach,oracle_attach,attach_gap_to_oracle,baseline_sinr,ai_sinr,oracle_sinr,sinr_gap_to_oracle,baseline_load,ai_load,oracle_load,load_gap_to_oracle,reward_regret_if_available,physical_kpi_gap_note,ai_delta_attach,ai_delta_sinr,ai_delta_load
outage_sector,2,1,COC/OH,749,749,comparable_oracle_action,1,0.96,0.933333333333333,0.933333333333333,-0.0266666666666666,-0.0266666666666666,3.33066907387547e-16,0.964,0.952,0.952,0,9.18718185418029,9.26270083739584,9.26270083739584,-1.77635683940025e-15,0.349370852007098,0.340177843187092,0.340177843187092,-1.11022302462516e-16,NaN,,-0.012,0.0755189832155487,-0.00919300882000657
outage_sector,9,4,COC/OH,3731,3731,comparable_oracle_action,1,0.96,0.973333333333333,0.973333333333333,0.0133333333333334,0.0133333333333334,3.33066907387547e-16,0.976,0.95,0.95,0,8.7249207942676,8.88818103273175,8.88818103273175,3.5527136788005e-15,0.3249794499372,0.329147944930533,0.329147944930533,-4.9960036108132e-16,NaN,,-0.026,0.163260238464154,0.00416849499333216
mixed_conflict,11,6,COC/OH,4501,4454,comparable_oracle_action,1,0.386666666666667,0.386666666666667,0.386666666666667,0,-3.33066907387547e-16,-3.33066907387547e-16,0.962,0.962,0.964,0.002,8.05513043801938,8.02222024391313,8.01331813141911,-0.00890211249401851,1.32072917138196,1.3155329173357,1.32475626134171,0.00922334400600522,NaN,,0,-0.0329101941062557,-0.00519625404625823
outage_sector,13,7,COC/OH,5435,5435,comparable_oracle_action,1,1,1,1,0,0,0,0.976,0.956,0.956,0,7.95659068076909,7.99207963951773,7.99207963951773,-8.88178419700125e-16,0.405401791269386,0.398830555037358,0.398830555037358,-4.44089209850063e-16,NaN,,-0.02,0.0354889587486396,-0.00657123623202804
outage_sector,15,8,COC/OH,6287,6287,comparable_oracle_action,1,0.826666666666667,0.946666666666667,0.946666666666667,0.12,0.12,-3.33066907387547e-16,0.974,0.966,0.966,0,8.78064370373552,8.82992499183312,8.82992499183312,-1.77635683940025e-15,0.358525515675378,0.348398870600426,0.348398870600426,3.33066907387547e-16,NaN,,-0.00800000000000001,0.0492812880975997,-0.0101266450749521
mixed_conflict,16,9,COC/OH,6584,6584,comparable_oracle_action,1,0.413333333333333,0.386666666666667,0.386666666666667,-0.0266666666666667,-0.0266666666666663,-3.33066907387547e-16,0.982,0.982,0.982,0,8.59686668550554,8.54652365575312,8.54652365575312,3.5527136788005e-15,1.24459962746284,1.25521090348689,1.25521090348689,3.10862446895044e-15,NaN,,0,-0.050343029752419,0.0106112760240518
mixed_conflict,17,10,COC/OH,7057,7057,comparable_oracle_action,1,0.393333333333333,0.4,0.4,0.00666666666666671,0.00666666666666704,0,0.97,0.97,0.97,0,8.96812993238302,8.92298795265967,8.92298795265967,0,1.1931901701496,1.1978466916344,1.1978466916344,4.88498130835069e-15,NaN,,0,-0.0451419797233488,0.00465652148480977
mixed_conflict,18,12,COC/OH,7483,7483,comparable_oracle_action,1,0.393333333333333,0.4,0.4,0.00666666666666671,0.00666666666666704,0,0.974,0.976,0.976,0,7.75206379808238,7.70738444975089,7.70738444975089,-3.5527136788005e-15,1.27850187050975,1.28169451560973,1.28169451560973,2.88657986402541e-15,NaN,,0.002,-0.0446793483314929,0.00319264509997885
outage_sector,18,13,COC/OH,7565,7565,comparable_oracle_action,1,0.973333333333333,0.973333333333333,0.973333333333333,0,3.33066907387547e-16,3.33066907387547e-16,0.958,0.95,0.95,0,8.38234263299313,8.35933407204152,8.37216462221824,0.0128305501767159,0.393795099186558,0.397352211623631,0.39809154771251,0.000739336088878939,NaN,,-0.00800000000000001,-0.0230085609516131,0.00355711243707296
outage_sector,18,13,LB/MLB,17534,17530,comparable_oracle_action,1,0.973333333333333,0.973333333333333,0.973333333333333,0,3.33066907387547e-16,3.33066907387547e-16,0.958,0.95,0.954,0.004,8.38234263299313,8.35933407204152,8.4087853082197,0.049451236178184,0.393795099186558,0.397352211623631,0.392429020923408,-0.00492319070022262,NaN,,-0.00800000000000001,-0.0230085609516131,0.00355711243707296
