oracle_group_id,module_name,scenario_name,realization_id,source_sector_id,oracle_reward,raw_true_reward,safe_true_reward,raw_regret,safety_enforced_regret,raw_top1_oracle_match,safe_top1_oracle_match,safe_top2_oracle_match
145,LB/MLB,mixed_conflict,3,7,0,0,0,0,0,1,1,1
146,LB/MLB,mixed_conflict,3,8,0,0,0,0,0,1,1,1
147,LB/MLB,mixed_conflict,3,9,-0.1275,0,-0.1275,-0.1275,0,0,1,1
148,LB/MLB,mixed_conflict,3,10,-0.1275,0,-0.1275,-0.1275,0,0,0,1
149,LB/MLB,mixed_conflict,3,11,0,0,0,0,0,1,1,1
150,LB/MLB,mixed_conflict,3,12,0.0928114796445559,0.0928114796445559,0.0928114796445559,0,0,1,1,1
151,LB/MLB,mixed_conflict,3,13,0.24652193582895,0.24652193582895,0.24652193582895,0,0,1,1,1
152,LB/MLB,mixed_conflict,3,14,0.0278065049344035,0.0278065049344035,0.0278065049344035,0,0,1,1,1
153,LB/MLB,mixed_conflict,3,16,0.26125,0.26125,0.26125,0,0,1,1,1
154,LB/MLB,mixed_conflict,3,19,0,0,0,0,0,1,1,1
155,LB/MLB,mixed_conflict,3,20,0.26125,0.26125,0.26125,0,0,1,1,1
156,LB/MLB,mixed_conflict,3,21,0,0,0,0,0,1,1,1
157,LB/MLB,normal,3,3,0.06625,0.06625,0.06625,0,0,1,1,1
176,LB/MLB,degraded_sector,4,6,0,0,0,0,0,1,1,1
177,LB/MLB,degraded_sector,4,12,-0.0238668566292451,-0.0238668566292451,-0.0238668566292451,0,0,1,1,1
178,LB/MLB,degraded_sector,4,13,0.05540156711438,0.05540156711438,0.05540156711438,0,0,1,1,1
179,LB/MLB,degraded_sector,4,17,0,0,0,0,0,1,1,1
180,LB/MLB,handover_stress,4,2,0,0,0,0,0,1,1,1
181,LB/MLB,handover_stress,4,16,0.0697161126571549,0.0697161126571549,0.0697161126571549,0,0,1,1,1
217,LB/MLB,handover_stress,5,3,0.111482705411398,0.111482705411398,0.111482705411398,0,0,1,1,1
218,LB/MLB,handover_stress,5,4,-0.0310552605818644,-0.0310552605818644,-0.0310552605818644,0,0,1,1,1
219,LB/MLB,handover_stress,5,20,0,0,0,0,0,1,1,1
237,LB/MLB,outage_sector,5,1,0.26125,0.26125,0.26125,0,0,1,1,1
256,LB/MLB,degraded_sector,6,2,-0.0300447383259831,-0.0300447383259831,-0.0300447383259831,0,0,1,1,1
257,LB/MLB,degraded_sector,6,16,0,0,0,0,0,1,1,1
258,LB/MLB,degraded_sector,6,20,0,0,0,0,0,1,1,1
278,LB/MLB,outage_sector,6,9,-0.0229697407911832,-0.0229697407911832,-0.0229697407911832,0,0,0,0,0
