dataset_id,scenario_id,realization_id,scenario_name,traffic_mode,impaired_sector_id,impaired_sector_status,ue_seed,shadowing_seed,traffic_seed,num_sites,num_sectors,num_ues,attached_ues,unattached_ues,attach_rate,active_ues,active_attached_ues,active_attach_rate,coverage_ratio,sinr_threshold_ratio,total_offered_traffic_Mbps,total_served_traffic_Mbps,total_unserved_traffic_Mbps,mean_ue_throughput_Mbps,median_ue_throughput_Mbps,qos_satisfied_ues,qos_satisfaction_ratio,overloaded_sector_count,mean_sector_load,max_sector_load,jain_fairness_index,mean_best_RSRP_dBm,mean_best_SINR_dB,boundary_ue_count,boundary_ue_ratio,handover_risk_score,es_candidate_sector_count,outage_scenario_label,degraded_scenario_label,overload_scenario_label,handover_stress_label,energy_saving_candidate_label
1,1,1,normal,normal,0,normal,11101,11201,11301,7,21,500,482,18,0.964,75,71,0.946666666666667,0.964,0.974,330.736027276937,312.619525968129,18.1165013088075,0.625239051936258,0,71,0.946666666666667,1,0.346915608024512,0.811961563038937,0.121277945300862,-87.9531362934581,9.15487527046466,84,0.174273858921162,0.174273858921162,0,0,0,0,0,0
2,1,2,normal,normal,0,normal,11102,11202,11302,7,21,500,484,16,0.968,75,69,0.92,0.968,0.98,345.545595068037,321.358835867669,24.1867592003683,0.642717671735338,0,69,0.92,1,0.404050083080475,1.10039653882454,0.119527953361199,-89.0818573737648,7.92718933677648,90,0.18595041322314,0.18595041322314,0,0,0,0,0,0
3,1,3,normal,normal,0,normal,11103,11203,11303,7,21,500,490,10,0.98,75,74,0.986666666666667,0.98,0.984,345.186149754544,335.399463270526,9.78668648401837,0.670798926541052,0,74,0.986666666666667,1,0.369882254128349,1.05005479137602,0.124682129176008,-87.6344619947595,8.98963147881637,73,0.148979591836735,0.148979591836735,0,0,0,0,0,0
4,1,4,normal,normal,0,normal,11104,11204,11304,7,21,500,487,13,0.974,75,74,0.986666666666667,0.974,0.982,327.471509832682,324.625221578064,2.84628825461771,0.649250443156128,0,74,0.986666666666667,0,0.354840106358707,0.750837922628369,0.124157882378607,-88.7431720925173,8.33696758638489,79,0.162217659137577,0.162217659137577,0,0,0,0,0,0
5,1,5,normal,normal,0,normal,11105,11205,11305,7,21,500,481,19,0.962,75,72,0.96,0.962,0.968,330.39322332218,312.975303380016,17.4179199421637,0.625950606760032,0,72,0.96,1,0.366409674445625,1.14523116897965,0.122029512870588,-88.6041072456565,8.36511322206786,89,0.185031185031185,0.185031185031185,0,0,0,0,0,0
6,1,6,normal,normal,0,normal,11106,11206,11306,7,21,500,491,9,0.982,75,74,0.986666666666667,0.982,0.994,362.030769959203,356.000689389203,6.03008057000038,0.712001378778405,0,74,0.986666666666667,1,0.418558571119881,0.955525967892158,0.122461357406311,-88.5964924278542,8.2814730853276,74,0.15071283095723,0.15071283095723,0,0,0,0,0,0
7,1,7,normal,normal,0,normal,11107,11207,11307,7,21,500,494,6,0.988,75,74,0.986666666666667,0.988,0.992,310.526192981682,308.371997214877,2.15419576680528,0.616743994429754,0,74,0.986666666666667,1,0.341575246877154,0.819305312945005,0.118638280440063,-88.3481536816635,8.64370759791963,79,0.159919028340081,0.159919028340081,0,0,0,0,0,0
8,1,8,normal,normal,0,normal,11108,11208,11308,7,21,500,486,14,0.972,75,74,0.986666666666667,0.972,0.982,318.632050979854,311.387100529003,7.2449504508511,0.622774201058005,0,74,0.986666666666667,0,0.354805842499616,0.665223422029785,0.124822472790485,-88.6972582746596,8.49948816321686,79,0.162551440329218,0.162551440329218,0,0,0,0,0,0
9,1,9,normal,normal,0,normal,11109,11209,11309,7,21,500,492,8,0.984,75,75,1,0.984,0.986,319.838673048552,319.741465068597,0.0972079799554786,0.639482930137193,0,75,1,1,0.351489436143874,1.00277419331087,0.120095115880596,-87.9538892591134,8.78500588875135,82,0.166666666666667,0.166666666666667,0,0,0,0,0,0
10,1,10,normal,normal,0,normal,11110,11210,11310,7,21,500,488,12,0.976,75,75,1,0.976,0.978,314.967330960034,314.967330960034,0,0.629934661920067,0,75,1,0,0.349247342572451,0.752156845463904,0.125118170781519,-88.2002029829663,8.86977017623596,80,0.163934426229508,0.163934426229508,0,0,0,0,0,0
