scenario_name,realization_id,coordinator_group_id,module_name,action_id,action_type,source_sector_id,target_sector_id,delta_prs_dB,delta_tilt_deg,delta_cio_dB,pre_attach_rate,post_attach_rate,delta_attach_rate,pre_mean_rsrp_dBm,post_mean_rsrp_dBm,delta_mean_rsrp_dB,pre_mean_sinr_dB,post_mean_sinr_dB,delta_mean_sinr_dB,pre_mean_sector_load,post_mean_sector_load,delta_mean_sector_load,pre_qos_satisfaction_ratio,post_qos_satisfaction_ratio,delta_qos_satisfaction_ratio,action_applied_to_clone,kpi_t_plus_1_generated,pre_total_served_traffic_Mbps,post_total_served_traffic_Mbps,delta_served_traffic_Mbps,decision_source_sector_id,decision_target_sector_id,application_affected_sector_id,application_state_variable,original_state_unchanged
outage_sector,2,1,COC/OH,749,compensate_neighbor,2,12,3,-2,2,0.964,0.952,-0.012,-87.8247589480429,-87.5079032606855,0.316855687357346,9.18718185418029,9.26270083739584,0.0755189832155487,0.349370852007098,0.340177843187092,-0.00919300882000657,0.96,0.933333333333333,-0.0266666666666666,1,1,321.562054757459,313.638639400685,-7.92341535677389,2,12,12,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,1
outage_sector,9,4,COC/OH,3731,compensate_neighbor,9,1,3,-2,2,0.976,0.95,-0.026,-88.7064841441221,-88.1808343325589,0.525649811563241,8.7249207942676,8.88818103273175,0.163260238464154,0.3249794499372,0.329147944930533,0.00416849499333216,0.96,0.973333333333333,0.0133333333333334,1,1,303.906511247101,308.482287413759,4.57577616665748,9,1,1,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,1
mixed_conflict,11,6,COC/OH,4501,compensate_neighbor,11,2,0,-1,0,0.962,0.962,0,-88.3307837987581,-88.3247766213146,0.00600717744347889,8.05513043801938,8.02222024391313,-0.0329101941062557,1.32072917138196,1.3155329173357,-0.00519625404625823,0.386666666666667,0.386666666666667,0,1,1,725.963330706469,732.86744679852,6.90411609205023,11,2,2,sectors.electricalTilt_deg,1
outage_sector,13,7,COC/OH,5435,compensate_neighbor,13,2,3,-2,2,0.976,0.956,-0.02,-88.9206055958198,-88.6373580282536,0.283247567566164,7.95659068076909,7.99207963951773,0.0354889587486396,0.405401791269386,0.398830555037358,-0.00657123623202804,1,1,0,1,1,330.929201789309,333.832439072637,2.90323728332748,13,2,2,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,1
outage_sector,15,8,COC/OH,6287,compensate_neighbor,15,17,3,-2,2,0.974,0.966,-0.00800000000000001,-88.4339037148126,-88.1016537707961,0.332249944016496,8.78064370373552,8.82992499183312,0.0492812880975997,0.358525515675378,0.348398870600426,-0.0101266450749521,0.826666666666667,0.946666666666667,0.12,1,1,307.341891782696,314.396086643782,7.0541948610869,15,17,17,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,1
mixed_conflict,16,9,COC/OH,6584,compensate_neighbor,16,3,0,-1,0,0.982,0.982,0,-88.6124684041213,-88.6196431633131,-0.0071747591917557,8.59686668550554,8.54652365575312,-0.050343029752419,1.24459962746284,1.25521090348689,0.0106112760240518,0.413333333333333,0.386666666666667,-0.0266666666666667,1,1,779.594778326702,787.390082310894,7.79530398419206,16,3,3,sectors.electricalTilt_deg,1
mixed_conflict,17,10,COC/OH,7057,compensate_neighbor,17,12,0,-1,0,0.97,0.97,0,-87.8767655695861,-87.878139208501,-0.00137363891488462,8.96812993238302,8.92298795265967,-0.0451419797233488,1.1931901701496,1.1978466916344,0.00465652148480977,0.393333333333333,0.4,0.00666666666666671,1,1,804.078683784481,812.39279899865,8.31411521416908,17,12,12,sectors.electricalTilt_deg,1
mixed_conflict,18,12,COC/OH,7483,compensate_neighbor,18,15,0,-1,0,0.974,0.976,0.002,-89.014402838882,-89.0453967063319,-0.030993867449908,7.75206379808238,7.70738444975089,-0.0446793483314929,1.27850187050975,1.28169451560973,0.00319264509997885,0.393333333333333,0.4,0.00666666666666671,1,1,729.820320722096,732.6850973596,2.86477663750384,18,15,15,sectors.electricalTilt_deg,1
outage_sector,18,13,COC/OH,7565,compensate_neighbor,18,16,3,-2,2,0.958,0.95,-0.00800000000000001,-88.0270730383112,-87.880787577495,0.146285460816188,8.38234263299313,8.35933407204152,-0.0230085609516131,0.393795099186558,0.397352211623631,0.00355711243707296,0.973333333333333,0.973333333333333,0,1,1,347.638575305078,347.638575305078,0,18,16,16,sectors.referencePowerOffset_dB|sectors.electricalTilt_deg|sectors.cio_dB,1
outage_sector,18,13,LB/MLB,17534,cio_bias_to_neighbor,14,17,0,0,3,0.958,0.95,-0.00800000000000001,-88.0270730383112,-87.880787577495,0.146285460816188,8.38234263299313,8.35933407204152,-0.0230085609516131,0.393795099186558,0.397352211623631,0.00355711243707296,0.973333333333333,0.973333333333333,0,1,1,347.638575305078,347.638575305078,0,14,17,17,sectors.cio_dB,1
