action_id,oracle_group_id,dataset_id,scenario_id,realization_id,scenario_name,source_sector_id,target_sector_id,module_name,action_type,source_sector_load,target_sector_load,source_mean_RSRP_dBm,source_mean_SINR_dB,source_qos_satisfaction_ratio,source_handover_risk_score,source_attach_rate_sector,delta_prs_dB,delta_tilt_deg,delta_cio_dB,delta_hom_dB,delta_ttt_ms,sleep_flag,is_no_op,es_action_code,reward,safety_valid,oracle_selected,oracle_selection_reason,unsafe_fallback_group,safe_training_candidate,invalid_reason,safety_attach_loss,safety_qos_loss,safety_sinr_loss,safety_rsrp_loss,safety_neighbor_overload,safety_handover_risk,safety_es_sleep_impaired,safety_is_unsafe,evaluation_note
16,1,64,4,1,degraded_sector,1,5,COC/OH,compensate_neighbor,0.187385783208705,0.400608102037871,-85.1441522109653,7.5540859561149,1,0.111111111111111,0.9,1,-1,0,0,0,0,0,-1,-0.00824999999999991,1,0,safe_best_reward,0,1,ok,0,0,0,0,0,0,0,0,local COC/OH coverage-compensation proxy
17,1,64,4,1,degraded_sector,1,5,COC/OH,compensate_neighbor,0.187385783208705,0.400608102037871,-85.1441522109653,7.5540859561149,1,0.111111111111111,0.9,1,-1,1,0,0,0,0,-1,-0.0143499999999999,1,0,safe_best_reward,0,1,ok,0,0,0,0,0,0,0,0,local COC/OH coverage-compensation proxy
18,1,64,4,1,degraded_sector,1,5,COC/OH,compensate_neighbor,0.187385783208705,0.400608102037871,-85.1441522109653,7.5540859561149,1,0.111111111111111,0.9,1,-1,2,0,0,0,0,-1,-0.0204499999999999,1,0,safe_best_reward,0,1,ok,0,0,0,0,0,0,0,0,local COC/OH coverage-compensation proxy
19,1,64,4,1,degraded_sector,1,5,COC/OH,compensate_neighbor,0.187385783208705,0.400608102037871,-85.1441522109653,7.5540859561149,1,0.111111111111111,0.9,1,0,0,0,0,0,0,-1,-0.00474999999999992,1,0,safe_best_reward,0,1,ok,0,0,0,0,0,0,0,0,local COC/OH coverage-compensation proxy
20,1,64,4,1,degraded_sector,1,5,COC/OH,compensate_neighbor,0.187385783208705,0.400608102037871,-85.1441522109653,7.5540859561149,1,0.111111111111111,0.9,1,0,1,0,0,0,0,-1,-0.0108499999999999,1,0,safe_best_reward,0,1,ok,0,0,0,0,0,0,0,0,local COC/OH coverage-compensation proxy
21,1,64,4,1,degraded_sector,1,5,COC/OH,compensate_neighbor,0.187385783208705,0.400608102037871,-85.1441522109653,7.5540859561149,1,0.111111111111111,0.9,1,0,2,0,0,0,0,-1,-0.0169499999999999,1,0,safe_best_reward,0,1,ok,0,0,0,0,0,0,0,0,local COC/OH coverage-compensation proxy
22,1,64,4,1,degraded_sector,1,5,COC/OH,compensate_neighbor,0.187385783208705,0.400608102037871,-85.1441522109653,7.5540859561149,1,0.111111111111111,0.9,1,1,0,0,0,0,0,-1,-0.0137499999999999,1,0,safe_best_reward,0,1,ok,0,0,0,0,0,0,0,0,local COC/OH coverage-compensation proxy
23,1,64,4,1,degraded_sector,1,5,COC/OH,compensate_neighbor,0.187385783208705,0.400608102037871,-85.1441522109653,7.5540859561149,1,0.111111111111111,0.9,1,1,1,0,0,0,0,-1,-0.0198499999999999,1,0,safe_best_reward,0,1,ok,0,0,0,0,0,0,0,0,local COC/OH coverage-compensation proxy
24,1,64,4,1,degraded_sector,1,5,COC/OH,compensate_neighbor,0.187385783208705,0.400608102037871,-85.1441522109653,7.5540859561149,1,0.111111111111111,0.9,1,1,2,0,0,0,0,-1,-0.0259499999999999,1,0,safe_best_reward,0,1,ok,0,0,0,0,0,0,0,0,local COC/OH coverage-compensation proxy
25,1,64,4,1,degraded_sector,1,5,COC/OH,compensate_neighbor,0.187385783208705,0.400608102037871,-85.1441522109653,7.5540859561149,1,0.111111111111111,0.9,2,-2,0,0,0,0,0,-1,-0.0164999999999997,1,0,safe_best_reward,0,1,ok,0,0,0,0,0,0,0,0,local COC/OH coverage-compensation proxy
