traffic_mode,sector_id,site_id,azimuth_deg,attached_ue_count,active_ue_count,active_attached_ue_count,offered_traffic_Mbps,served_traffic_Mbps,unserved_traffic_Mbps,sector_capacity_Mbps,sector_load_ratio,mean_RSRP_dBm,median_RSRP_dBm,mean_SINR_dB,median_SINR_dB,mean_UE_throughput_Mbps,median_UE_throughput_Mbps,qos_satisfaction_ratio,overload_flag
low_load,1,1,30,13,0,0,0,0,0,49.7912963312864,0,-85.5503972206374,-86.8407933581074,10.3344591492966,10.4201949625117,NaN,NaN,NaN,0
low_load,2,1,150,22,0,0,0,0,0,41.3654733949222,0,-86.1333431386925,-86.3005274050616,8.208967967445,5.12238657082889,NaN,NaN,NaN,0
low_load,3,1,270,23,2,2,4.89221798346548,4.89221798346548,0,33.4871641553471,0.146092334387303,-87.3176432843084,-88.6851134720523,5.69700580590055,4.02243564273351,2.44610899173274,2.44610899173274,1,0
low_load,4,2,30,24,1,1,2.25059309140238,2.25059309140238,0,55.9365448599305,0.0402347534521133,-87.6522679601982,-90.436718593669,11.9784768357406,11.4704644298738,2.25059309140238,2.25059309140238,1,0
low_load,5,2,150,26,1,1,1.47981703174046,1.47981703174046,0,33.9015863021969,0.0436503772581452,-88.9192265788546,-89.6826087259483,5.74137216165672,4.56308262574071,1.47981703174046,1.47981703174046,1,0
low_load,6,2,270,26,1,1,1.1238083215841,1.1238083215841,0,41.8901539021261,0.0268275051987113,-91.5891253036479,-92.2575393529815,8.3150009313893,8.21645728080615,1.1238083215841,1.1238083215841,1,0
low_load,7,3,30,23,3,3,4.00167431752305,4.00167431752305,0,59.8766959000659,0.0668319161131041,-87.1756557117924,-88.2169673341703,13.0111997059527,14.3953900867623,1.33389143917435,0.997067403140216,1,0
low_load,8,3,150,33,2,2,3.57118422845053,3.57118422845053,0,42.5092289482998,0.0840096213646653,-88.3128813805098,-89.4824691673178,8.33738305990662,5.87898343584479,1.78559211422527,1.78559211422527,1,0
low_load,9,3,270,22,1,1,0.573869029532178,0.573869029532178,0,42.1613591272738,0.0136112554578666,-84.0456657127443,-84.7275504477005,8.18076693515316,5.94593327563523,0.573869029532178,0.573869029532178,1,0
low_load,10,4,30,25,1,1,2.36862486425519,2.36862486425519,0,42.8728088576986,0.0552477182476429,-87.6466992548692,-89.090929083239,7.91662287487146,9.1588180710189,2.36862486425519,2.36862486425519,1,0
low_load,11,4,150,22,0,0,0,0,0,47.0552967990616,0,-88.8948755117851,-90.4208514210981,9.98768182451091,7.65030221943893,NaN,NaN,NaN,0
