scenario_name,target_mean,target_std,target_min,target_max,MAE,RMSE,R2,notes
normal,0.934863945578231,0.246304043787622,0,1,0.141073061873783,0.260661846889073,-0.120725306982034,
low_load,1,0,1,1,0.0113395339175986,0.0146635031293718,NaN,R2 is unstable because target variance is very low.
overload,0.401851851851852,0.490218562267962,0,1,0.296397349192867,0.42180372736348,0.259152790621351,
handover_stress,0.911170949861426,0.284286931186086,0,1,0.176637637232153,0.307073250155809,-0.167501661885161,
mixed_conflict,0.380401234567901,0.485248456321121,0,1,0.297922019250904,0.422890815869226,0.239996646175017,
