scenario_id,scenario_name,traffic_mode,time_index,day_index,step_in_day,minute_of_day,hour_of_day,sin_time_of_day,cos_time_of_day,num_sites,num_sectors,num_ues,attached_ues,unattached_ues,attach_rate,active_ues,active_attached_ues,active_attach_rate,coverage_ratio,sinr_threshold_ratio,total_offered_traffic_Mbps,total_served_traffic_Mbps,total_unserved_traffic_Mbps,mean_ue_throughput_Mbps,median_ue_throughput_Mbps,qos_satisfied_ues,qos_satisfaction_ratio,overloaded_sector_count,mean_sector_load,max_sector_load,jain_fairness_index,mean_best_RSRP_dBm,mean_best_SINR_dB,boundary_ue_count,boundary_ue_ratio,handover_risk_score
1,normal,normal,1,1,1,0,0,0,1,7,21,500,486,14,0.972,41,40,0.975609756097561,0.972,0.978,105.905694302307,103.205220408743,2.70047389356408,0.206410440817487,0,40,0.975609756097561,0,0.119446384764514,0.356828161848221,0.067655562113377,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,2,1,2,15,0.25,0.0654031292301431,0.997858923238603,7,21,500,486,14,0.972,49,49,1,0.972,0.978,161.357732085855,161.357732085855,0,0.32271546417171,0,49,1,0,0.174204510302307,0.440226300551773,0.0830601848933034,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,3,1,3,30,0.5,0.130526192220052,0.99144486137381,7,21,500,486,14,0.972,47,47,1,0.972,0.978,138.691652767781,138.691652767781,0,0.277383305535562,0,47,1,0,0.15857898780095,0.375636290805072,0.078409177441024,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,4,1,4,45,0.75,0.195090322016128,0.98078528040323,7,21,500,486,14,0.972,41,40,0.975609756097561,0.972,0.978,101.622955172019,98.2261730349301,3.39678213708849,0.19645234606986,0,40,0.975609756097561,0,0.11915971370297,0.417621340992295,0.0660135895193137,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,5,1,5,60,1,0.258819045102521,0.965925826289068,7,21,500,486,14,0.972,50,46,0.92,0.972,0.978,158.488595853946,146.428973941087,12.0596219128586,0.292857947882175,0,46,0.92,0,0.165628397952818,0.452761079418495,0.0777456350482755,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,6,1,6,75,1.25,0.321439465303162,0.946930129495106,7,21,500,486,14,0.972,49,48,0.979591836734694,0.972,0.978,132.368203275837,131.083069968593,1.28513330724365,0.262166139937187,0,48,0.979591836734694,0,0.155567162313568,0.533214358901418,0.0771721025994095,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,7,1,7,90,1.5,0.38268343236509,0.923879532511287,7,21,500,486,14,0.972,43,41,0.953488372093023,0.972,0.978,98.2837918329995,93.1346870415429,5.14910479145657,0.186269374083086,0,41,0.953488372093023,0,0.113813004921592,0.53626866943192,0.066181781076147,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,8,1,8,105,1.75,0.442288690219001,0.896872741532688,7,21,500,486,14,0.972,43,40,0.930232558139535,0.972,0.978,106.425915983152,97.0988324883906,9.32708349476104,0.194197664976781,0,40,0.930232558139535,0,0.105599992829069,0.292883963451965,0.0671093613651602,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,9,1,9,120,2,0.5,0.866025403784439,7,21,500,486,14,0.972,46,45,0.978260869565217,0.972,0.978,128.523720868664,126.341714407102,2.18200646156212,0.252683428814203,0,45,0.978260869565217,0,0.138102627737207,0.332567432144903,0.0760043329009423,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,10,1,10,135,2.25,0.555570233019602,0.831469612302545,7,21,500,486,14,0.972,42,41,0.976190476190476,0.972,0.978,95.7865149607346,94.0406098793008,1.74590508143377,0.188081219758602,0,41,0.976190476190476,0,0.119204270902836,0.657720493717948,0.0653896047565687,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,11,1,11,150,2.5,0.608761429008721,0.793353340291235,7,21,500,486,14,0.972,39,36,0.923076923076923,0.972,0.978,84.5605035836389,78.6295615743323,5.93094200930663,0.157259123148665,0,36,0.923076923076923,0,0.0857672752415458,0.18925798519273,0.0592600409437867,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,12,1,12,165,2.75,0.659345815100069,0.751839807478977,7,21,500,486,14,0.972,44,40,0.909090909090909,0.972,0.978,125.829553210502,111.012734068852,14.8168191416504,0.222025468137703,0,40,0.909090909090909,0,0.124899254464738,0.350866857548198,0.0685790548960006,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,13,1,13,180,3,0.707106781186547,0.707106781186548,7,21,500,486,14,0.972,49,47,0.959183673469388,0.972,0.978,145.588401014823,139.159833419767,6.42856759505544,0.278319666839535,0,47,0.959183673469388,0,0.150482971246903,0.445268829240392,0.0793645846991324,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,14,1,14,195,3.25,0.751839807478977,0.659345815100069,7,21,500,486,14,0.972,48,47,0.979166666666667,0.972,0.978,120.12986439956,117.947104009997,2.18276038956258,0.235894208019995,0,47,0.979166666666667,0,0.135713512079495,0.410390057113381,0.0755317235820465,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,15,1,15,210,3.5,0.793353340291235,0.608761429008721,7,21,500,486,14,0.972,37,37,1,0.972,0.978,76.2268973031009,76.2268973031009,0,0.152453794606202,0,37,1,0,0.0881584512641152,0.24534113018356,0.0565337926284433,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,16,1,16,225,3.75,0.831469612302545,0.555570233019602,7,21,500,486,14,0.972,43,41,0.953488372093023,0.972,0.978,104.142341337028,98.8377486546545,5.30459268237351,0.197675497309309,0,41,0.953488372093023,0,0.120665582900191,0.305916353493293,0.065823169518171,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,17,1,17,240,4,0.866025403784439,0.5,7,21,500,486,14,0.972,51,49,0.96078431372549,0.972,0.978,138.124973454371,129.731768786117,8.39320466825401,0.259463537572233,0,49,0.96078431372549,0,0.153664088470707,0.597251799211581,0.0766755999292983,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,18,1,18,255,4.25,0.896872741532688,0.442288690219001,7,21,500,486,14,0.972,50,50,1,0.972,0.978,168.086812376525,168.086812376525,0,0.336173624753049,0,50,1,0,0.202753474646295,0.513550400056455,0.0879422705632459,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,19,1,19,270,4.5,0.923879532511287,0.38268343236509,7,21,500,486,14,0.972,51,50,0.980392156862745,0.972,0.978,143.934645922938,141.133220846986,2.80142507595225,0.282266441693972,0,50,0.980392156862745,0,0.163366478423582,0.304039329372862,0.0838234885613451,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,20,1,20,285,4.75,0.946930129495106,0.321439465303161,7,21,500,486,14,0.972,49,49,1,0.972,0.978,154.531481718844,154.531481718844,0,0.309062963437689,0,49,1,0,0.184665397021531,0.546175282566612,0.0821147739938098,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,21,1,21,300,5,0.965925826289068,0.258819045102521,7,21,500,486,14,0.972,49,47,0.959183673469388,0.972,0.978,150.344318757479,142.151302072194,8.19301668528501,0.284302604144389,0,47,0.959183673469388,0,0.164094683350895,0.362658427201448,0.0781833239504106,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,22,1,22,315,5.25,0.98078528040323,0.195090322016128,7,21,500,486,14,0.972,56,56,1,0.972,0.978,195.846599727749,195.846599727749,0,0.391693199455498,0,56,1,0,0.233095592443901,0.547405129314529,0.0956670887372897,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,23,1,23,330,5.5,0.99144486137381,0.130526192220052,7,21,500,486,14,0.972,54,53,0.981481481481482,0.972,0.978,163.216841146367,161.634843917182,1.58199722918425,0.323269687834365,0,53,0.981481481481482,0,0.188055673354155,0.493621708727138,0.0854673161478217,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,24,1,24,345,5.75,0.997858923238603,0.065403129230143,7,21,500,486,14,0.972,54,54,1,0.972,0.978,176.196604270937,175.761411137376,0.435193133560921,0.351522822274751,0,54,1,1,0.21842082940835,1.02006602171956,0.0896232000423995,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,25,1,25,360,6,1,6.12323399573677e-17,7,21,500,486,14,0.972,55,53,0.963636363636364,0.972,0.978,204.304941689343,197.790674132202,6.51426755714091,0.395581348264404,0,53,0.963636363636364,0,0.220457584577627,0.528055262138604,0.0929749501773723,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,26,1,26,375,6.25,0.997858923238603,-0.0654031292301429,7,21,500,486,14,0.972,62,60,0.967741935483871,0.972,0.978,235.600596476195,229.128539879935,6.47205659626005,0.458257079759871,0,60,0.967741935483871,1,0.252741662109806,0.93411993482216,0.101634693051652,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,27,1,27,390,6.5,0.99144486137381,-0.130526192220051,7,21,500,486,14,0.972,66,64,0.96969696969697,0.972,0.978,253.929399997406,246.791626312568,7.13777368483839,0.493583252625136,0,64,0.96969696969697,0,0.268841883100317,0.606190012606494,0.106551157880317,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,28,1,28,405,6.75,0.980785280403231,-0.195090322016128,7,21,500,486,14,0.972,56,53,0.946428571428571,0.972,0.978,193.181656120553,180.480755915031,12.7009002055221,0.360961511830062,0,53,0.946428571428571,0,0.214200590461041,0.632507706860256,0.0900235940971522,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,29,1,29,420,7,0.965925826289068,-0.258819045102521,7,21,500,486,14,0.972,63,63,1,0.972,0.978,257.626455903215,257.626455903215,0,0.515252911806431,0,63,1,0,0.298223412931478,0.560873953624677,0.108452374062645,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,30,1,30,435,7.25,0.946930129495106,-0.321439465303162,7,21,500,486,14,0.972,71,68,0.957746478873239,0.972,0.978,315.210387058262,302.609569293243,12.6008177650195,0.605219138586486,0,68,0.957746478873239,1,0.363242615573383,1.03541450567184,0.114267348017064,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,31,1,31,450,7.5,0.923879532511287,-0.38268343236509,7,21,500,486,14,0.972,71,68,0.957746478873239,0.972,0.978,327.917015178608,319.233114271167,8.68390090744175,0.638466228542333,0,68,0.957746478873239,1,0.35469943275006,0.818942727497577,0.118644363233657,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,32,1,32,465,7.75,0.896872741532688,-0.442288690219001,7,21,500,486,14,0.972,75,72,0.96,0.972,0.978,369.079027479034,344.728513576414,24.3505139026198,0.689457027152829,0,72,0.96,3,0.389738424272484,1.17177181661915,0.120696218221368,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
1,normal,normal,33,1,33,480,8,0.866025403784439,-0.5,7,21,500,486,14,0.972,63,63,1,0.972,0.978,250.074728066355,250.074728066355,0,0.50014945613271,0,63,1,1,0.280113100845118,0.859996947430972,0.105250990548865,-88.6196555709898,8.48253091433006,81,0.166666666666667,0.166666666666667
