scenario_id,scenario_name,sector_id,site_id,azimuth_deg,attached_ue_count,active_ue_count,active_attached_ue_count,offered_traffic_Mbps,served_traffic_Mbps,unserved_traffic_Mbps,sector_capacity_Mbps,sector_load_ratio,mean_RSRP_dBm,median_RSRP_dBm,mean_SINR_dB,median_SINR_dB,mean_UE_throughput_Mbps,median_UE_throughput_Mbps,qos_satisfaction_ratio,overload_flag,es_candidate
5,outage_sector,7,3,30,28,5,5,25.6467860198803,25.6467860198803,0,54.0822970010969,0.474217765184051,-88.4382814116212,-87.3230920990358,11.6026240069752,11.4284118008498,5.12935720397606,5.32045424100845,1,0,0
5,outage_sector,8,3,150,32,3,3,9.38583691978573,9.38583691978573,0,45.4074878200254,0.20670240461192,-90.0834777653259,-90.9317353900682,8.99649954137015,8.26199486316136,3.12861230659524,2.72894408628813,1,0,0
5,outage_sector,9,3,270,21,4,4,17.0358072171663,17.0358072171663,0,40.5609095720335,0.42000555206761,-86.4410847710782,-86.4319682162405,7.60964822327559,5.12579207943229,4.25895180429158,3.9930831160879,1,0,0
5,outage_sector,10,4,30,33,7,7,32.2302203798421,32.2302203798421,0,42.5059436390542,0.758252084779719,-89.0055916473524,-89.7001097290494,8.27536899433227,7.73813090555422,4.6043171971203,4.37644155559147,1,0,0
5,outage_sector,11,4,150,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
5,outage_sector,12,4,270,27,3,3,9.17064345399447,9.17064345399447,0,34.3565141550494,0.266925899775739,-86.7849679936751,-87.0519884736176,5.9155579295266,5.03769759937926,3.05688115133149,2.50572205499513,1,0,0
5,outage_sector,13,5,30,23,3,3,12.4648679037144,12.4648679037144,0,35.3989596156082,0.352125261280796,-86.6923507597375,-86.8509077774915,6.51797889710341,5.19912248319801,4.15495596790479,2.78911009638307,1,0,0
5,outage_sector,14,5,150,31,2,2,11.9922867365422,11.9922867365422,0,52.3002877083845,0.229296764167124,-89.3995734179541,-89.9180850618075,10.661287613421,10.0032831236009,5.99614336827109,5.99614336827109,1,0,0
5,outage_sector,15,5,270,26,4,4,15.908262504747,15.908262504747,0,29.3294011473237,0.5423998405163,-91.3082619192001,-90.7327315910204,4.57117375826449,2.73014980045175,3.97706562618674,3.51370264155729,1,0,0
5,outage_sector,16,6,30,17,2,2,15.6506270395722,15.6506270395722,0,29.8267587309559,0.524717659761305,-87.8839199033095,-88.6826212446397,4.93317438266214,6.43255786252515,7.82531351978612,7.82531351978612,1,0,0
5,outage_sector,17,6,150,21,4,4,20.5049076791725,20.5049076791725,0,49.6594259115321,0.412910687201697,-86.3798958115902,-86.9738202361338,10.5412760798138,9.64071045363139,5.12622691979312,5.02091438168785,1,0,0
5,outage_sector,18,6,270,24,5,5,22.8062739107071,22.8062739107071,0,59.0627138268255,0.386136573026023,-87.8714008863819,-88.7930458026372,14.0773269543045,12.4761274740519,4.56125478214142,4.90965476439274,1,0,0
5,outage_sector,19,7,30,21,5,5,27.7900432440155,27.7900432440155,0,42.5124937196083,0.65369120492684,-88.1184684725153,-92.2503356850127,8.15008884176859,6.55880645338214,5.55800864880309,6.47329819796132,1,0,0
5,outage_sector,20,7,150,14,4,4,12.5037910276863,12.5037910276863,0,29.96726372025,0.417248339535151,-89.5635499724177,-91.818936242039,4.58152462788564,2.49143970278647,3.12594775692157,2.91229233102514,1,0,0
5,outage_sector,21,7,270,28,6,6,36.8113009147025,36.8113009147025,0,50.6727932013419,0.726450992516586,-87.6055765234618,-86.0202276771641,10.322844832782,11.4090865351765,6.13521681911709,7.07546689374365,1,0,0
6,low_load_energy_saving_candidate,1,1,30,21,0,0,0,0,0,30.6914485004302,0,-88.2497921678464,-88.4461990504893,4.99114545242917,2.50833267041591,NaN,NaN,NaN,0,1
6,low_load_energy_saving_candidate,2,1,150,17,0,0,0,0,0,43.8794057991377,0,-85.7738826235953,-85.4713986764819,8.40526609031103,7.5410429707005,NaN,NaN,NaN,0,1
6,low_load_energy_saving_candidate,3,1,270,20,2,2,4.89221798346548,4.89221798346548,0,30.0537449455309,0.16278230857193,-90.0265626219289,-91.4235192852555,4.72742942619943,3.35937240233636,2.44610899173274,2.44610899173274,1,0,0
6,low_load_energy_saving_candidate,4,2,30,23,1,1,2.25059309140238,2.25059309140238,0,55.0643779293484,0.0408720333550313,-88.491645087168,-86.6260977325075,11.5907647881925,10.5947228618514,2.25059309140238,2.25059309140238,1,0,1
6,low_load_energy_saving_candidate,5,2,150,23,1,1,1.47981703174046,1.47981703174046,0,38.4543662450083,0.0384824189355234,-87.2730569036018,-87.0215314744135,6.79970717894558,4.49732554190668,1.47981703174046,1.47981703174046,1,0,1
6,low_load_energy_saving_candidate,6,2,270,27,3,3,4.18334106878886,4.18334106878886,0,40.2110765845342,0.104034545307296,-89.7325094452535,-89.9596281990182,7.46090728026113,5.16271476429945,1.39444702292962,1.1238083215841,1,0,0
6,low_load_energy_saving_candidate,7,3,30,28,3,3,4.00167431752305,4.00167431752305,0,54.0742180226306,0.0740033691443916,-88.4382814116212,-87.3230920990358,11.593458818009,11.428067478927,1.33389143917435,0.997067403140216,1,0,1
6,low_load_energy_saving_candidate,8,3,150,28,2,2,3.57118422845053,3.57118422845053,0,46.8441639515116,0.0762354139172398,-88.6556389581001,-87.9632900728738,9.41575567626503,8.68714290164495,1.78559211422527,1.78559211422527,1,0,1
6,low_load_energy_saving_candidate,9,3,270,21,1,1,0.573869029532178,0.573869029532178,0,40.5572754001725,0.0141495952050501,-86.4410847710782,-86.4319682162405,7.60833592778007,5.12542926287039,0.573869029532178,0.573869029532178,1,0,1
6,low_load_energy_saving_candidate,10,4,30,27,1,1,2.36862486425519,2.36862486425519,0,41.0771283381852,0.0576628639849032,-87.8958253938024,-89.0990790177218,7.77815221090477,7.59429354719235,2.36862486425519,2.36862486425519,1,0,1
6,low_load_energy_saving_candidate,11,4,150,23,0,0,0,0,0,40.5270420628209,0,-91.39371467247,-91.9199032346085,8.07682458907712,6.75800054857293,NaN,NaN,NaN,0,1
6,low_load_energy_saving_candidate,12,4,270,23,1,1,2.63778218360743,2.63778218360743,0,34.605698242209,0.0762239260466675,-84.6586434269016,-85.2219652366034,6.13699451488604,6.1913906437512,2.63778218360743,2.63778218360743,1,0,1
6,low_load_energy_saving_candidate,13,5,30,22,1,1,1.24624941620209,1.24624941620209,0,35.7961025430183,0.0348152264538966,-85.9188835537153,-86.5851448014667,6.61994408143862,5.19907853587805,1.24624941620209,1.24624941620209,1,0,1
