ue_id,x_m,y_m,serving_sector,isAttached,isTrafficActive,demand_Mbps,service_class,spectralEfficiency_bpsHz,peakThroughput_Mbps,servedThroughput_Mbps,unservedDemand_Mbps,meetsMinThroughput,qosSatisfied,bestRSRP_dBm,bestSINR_dB
1,-289.887605199174,-795.061606828383,15,1,0,0,no_traffic,2.42730247697929,48.5460495395857,0,0,0,0,-90.7857140908431,10.0269577205315
2,1041.42049007059,105.80285333551,8,1,0,0,no_traffic,4.5,90,0,0,0,0,-83.5211189890067,20.6011926775765
3,227.960296580101,586.38424987824,5,1,0,0,no_traffic,2.05165068592753,41.0330137185505,0,0,0,0,-91.8219211767756,8.21252477950322
4,-794.803339834041,774.088563503534,19,1,0,0,no_traffic,1.10316137771752,22.0632275543504,0,0,0,0,-96.6770888315678,2.96951719941605
5,-794.859071752237,400.939222412177,21,1,1,3.17721206608794,low_rate,4.5,90,3.17721206608794,0,1,1,-66.3380458220114,31.1074499609337
6,-1021.09201913696,485.511913891602,21,1,0,0,no_traffic,4.0715260706926,81.430521413852,0,0,0,0,-88.6806261777431,17.4315504807106
7,233.636349202846,-632.105968981923,12,1,0,0,no_traffic,0.78785585756328,15.7571171512656,0,0,0,0,-90.5143057104116,0.72538154886879
8,480.772504570848,-26.702714155346,12,1,0,0,no_traffic,1.06403875638841,21.2807751277682,0,0,0,0,-89.9615024931732,2.71381651866355
9,-735.175240428349,519.09183891946,19,1,0,0,no_traffic,1.29634689519233,25.9269379038466,0,0,0,0,-87.2182523582384,4.16609403935244
10,-452.317879359225,-806.569827790914,17,1,0,0,no_traffic,1.80657487826675,36.1314975653349,0,0,0,0,-83.5800192423743,6.97473607205593
11,57.2022116808425,171.566508940565,1,1,1,7.09726244555773,high_rate,4.29833794527139,85.9667589054279,7.09726244555773,0,1,1,-75.638518145454,18.4226922495289
12,-157.247841991095,1049.13731461436,6,1,0,0,no_traffic,0.701677665299409,14.0335533059882,0,0,0,0,-97.7739942337674,0.0144173939161636
13,258.447301940428,498.500126795772,5,1,0,0,no_traffic,0.760400321821262,15.2080064364252,0,0,0,0,-99.3832307619559,0.504832123804112
14,-832.985496519278,-511.708078045313,18,1,0,0,no_traffic,2.05598547761543,41.1197095523086,0,0,0,0,-80.0836630158214,8.2339726790342
15,-101.504695801457,1121.80428201555,4,1,0,0,no_traffic,1.33947280275755,26.789456055151,0,0,0,0,-95.8838539934064,4.42056920059308
16,658.927585050203,-65.1109252613392,10,1,0,0,no_traffic,2.34949166462024,46.9898332924048,0,0,0,0,-88.1792749965144,9.65762996677728
17,32.8900938305269,870.011581143216,4,1,0,0,no_traffic,4.02338927531503,80.4677855063007,0,0,0,0,-71.6118564147822,17.2207097085533
18,213.533105617552,-456.784089511841,13,1,1,2.50572205499513,low_rate,1.47040871494521,29.4081742989042,2.50572205499513,0,1,1,-90.7491991862487,5.1704132590177
19,248.493138067606,-1169.08844273432,14,1,0,0,no_traffic,3.9098564603942,78.1971292078841,0,0,0,0,-87.1413355125602,16.7226594064737
20,-761.286969808217,243.088246709306,20,1,0,0,no_traffic,2.66000507821881,53.2001015643762,0,0,0,0,-82.5224372675105,11.1156087277138
21,-1004.99180244953,-681.746766544164,18,1,1,4.90965476439274,normal_rate,4.5,90,4.90965476439274,0,1,1,-85.8588744888215,20.4162485537948
22,712.582921918203,495.643031125548,7,1,0,0,no_traffic,3.91367174583839,78.2734349167678,0,0,0,0,-80.428633641935,16.7394150541968
