rejected_action_id,module_name,scenario_name,realization_id,rejection_reason,rejection_type,conflict_id,rejected_by_module,safety_related_flag
17962,LB/MLB,mixed_conflict,19,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,81,LB/MLB,0
20678,ES,mixed_conflict,11,ES sleep on a sector also touched by COC/LB/HO-MRO action.,es_sleep_overlap,2,COC/OH,1
23217,HO/MRO,handover_stress,1,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,85,HO/MRO,0
23395,HO/MRO,handover_stress,1,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,88,HO/MRO,0
23751,HO/MRO,handover_stress,1,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,86,HO/MRO,0
24107,HO/MRO,handover_stress,1,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,90,HO/MRO,0
24819,HO/MRO,handover_stress,1,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,87,HO/MRO,0
24997,HO/MRO,handover_stress,1,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,89,HO/MRO,0
28913,HO/MRO,handover_stress,2,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,95,HO/MRO,0
29447,HO/MRO,handover_stress,2,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,96,HO/MRO,0
29981,HO/MRO,handover_stress,2,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,97,HO/MRO,0
32532,HO/MRO,overload,2,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,101,HO/MRO,0
50095,HO/MRO,outage_sector,6,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,34,HO/MRO,0
86822,HO/MRO,handover_stress,13,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,102,HO/MRO,0
86941,HO/MRO,handover_stress,13,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,103,HO/MRO,0
110615,HO/MRO,handover_stress,18,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,105,HO/MRO,0
110793,HO/MRO,handover_stress,18,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,108,HO/MRO,0
111149,HO/MRO,handover_stress,18,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,106,HO/MRO,0
111505,HO/MRO,handover_stress,18,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,109,HO/MRO,0
111861,HO/MRO,handover_stress,18,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,107,HO/MRO,0
116429,HO/MRO,handover_stress,19,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,114,HO/MRO,0
116548,HO/MRO,handover_stress,19,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,115,HO/MRO,0
117201,HO/MRO,handover_stress,19,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,116,HO/MRO,0
117735,HO/MRO,handover_stress,19,Both actions write the same simulator state variable on the same application sector.,duplicate_application_target_parameter,117,HO/MRO,0
