final_decision_id,coordinator_group_id,scenario_name,realization_id,module_name,module_priority,decision_source_sector_id,decision_target_sector_id,source_sector_id,target_sector_id,coordinator_affected_sector_id,application_affected_sector_id,application_state_variable,affected_sector_id,affected_parameter,selected_action_id_safe,accepted_action_type,final_decision_status,executable_flag,not_applied_flag,safety_valid,fallback_used,noop_selected,unresolved_fallback_flag,rejection_reason,conflict_id,conflict_type,final_candidate_rank,predicted_reward,true_reward,safety_enforced_regret,delta_prs_dB,delta_tilt_deg,delta_cio_dB,delta_hom_dB,delta_ttt_ms,es_action
103,27,mixed_conflict,8,LB/MLB,3,6,16,6,16,6,16,sectors.cio_dB,6,CIO_bias,12580,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,38,duplicate_application_target_parameter,0,-0.127744189123056,-0.1275,0,0,0,-3,0,0,
104,27,mixed_conflict,8,LB/MLB,3,7,8,7,8,7,8,sectors.cio_dB,7,CIO_bias,12590,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,36,duplicate_application_target_parameter,0,0.081441006424472,0.0549706298324548,0,0,0,3,0,0,
106,27,mixed_conflict,8,LB/MLB,3,10,8,10,8,10,8,sectors.cio_dB,10,CIO_bias,12616,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,35,duplicate_application_target_parameter,0,-0.0245874445372288,-0.0226783824449851,0,0,0,3,0,0,
112,27,mixed_conflict,8,LB/MLB,3,20,16,20,16,20,16,sectors.cio_dB,20,CIO_bias,12697,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,39,duplicate_application_target_parameter,0,-0.133730184838854,-0.1338,0,0,0,-3,0,0,
115,29,overload,12,LB/MLB,3,3,2,3,2,3,2,sectors.cio_dB,3,CIO_bias,14664,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,42,duplicate_application_target_parameter,0,-0.127556293125659,-0.1275,0,0,0,-3,0,0,
118,29,overload,12,LB/MLB,3,7,1,7,1,7,1,sectors.cio_dB,7,CIO_bias,14705,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,41,duplicate_application_target_parameter,0,0.0652227274256475,0.06625,0,0,0,6,0,0,
123,29,overload,12,LB/MLB,3,13,2,13,2,13,2,sectors.cio_dB,13,CIO_bias,14760,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,43,duplicate_application_target_parameter,0,-0.133762438214124,-0.1338,0,0,0,-3,0,0,
124,29,overload,12,LB/MLB,3,14,2,14,2,14,2,sectors.cio_dB,14,CIO_bias,14781,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,44,duplicate_application_target_parameter,0,-0.127572572231512,-0.1275,0,0,0,-3,0,0,
127,29,overload,12,LB/MLB,3,17,15,17,15,17,15,sectors.cio_dB,17,CIO_bias,14812,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,48,duplicate_application_target_parameter,0,-0.133771349686703,-0.1338,0,0,0,-3,0,0,
129,29,overload,12,LB/MLB,3,19,21,19,21,19,21,sectors.cio_dB,19,CIO_bias,14842,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,49,duplicate_application_target_parameter,0,-0.133665998052732,-0.1338,0,0,0,-3,0,0,
