module_name,action_count,mean_delta_attach_rate,mean_delta_rsrp_dB,mean_delta_sinr_dB,mean_delta_sector_load,mean_delta_qos_satisfaction_ratio
COC/OH,9,-0.00800000000000001,0.174528153689596,0.014162928406757,-0.00054456601488883,0.0103703703703704
LB/MLB,55,-0.0128,0.0822871674302436,0.0933403900788074,-0.0244561308298869,0.0164848484848485
