scenario_id,scenario_name,traffic_mode,num_sites,num_sectors,num_ues,attached_ues,unattached_ues,attach_rate,active_ues,active_attached_ues,active_attach_rate,coverage_ratio,sinr_threshold_ratio,total_offered_traffic_Mbps,total_served_traffic_Mbps,total_unserved_traffic_Mbps,mean_ue_throughput_Mbps,median_ue_throughput_Mbps,qos_satisfied_ues,qos_satisfaction_ratio,overloaded_sector_count,mean_sector_load,max_sector_load,jain_fairness_index
1,normal,normal,7,21,500,485,15,0.97,75,72,0.96,0.978067387158296,0.976,360.525014362012,343.956482071314,16.5685322906981,0.687912964142628,0,72,0.96,0,0.404562989679067,0.784626912438788,0.121795307569271
2,low_load,low_load,7,21,500,485,15,0.97,25,24,0.96,0.978067387158296,0.976,43.5840298604244,42.3237820368783,1.26024782354609,0.0846475640737566,0,24,0.96,0,0.0508894990541751,0.16278230857193,0.0429076316859226
3,overload,overload,7,21,500,485,15,0.97,150,141,0.94,0.978067387158296,0.976,1050.95216193294,801.720295381163,249.23186655178,1.60344059076233,0,81,0.54,17,1.13495529695336,1.81315308482166,0.241558367506332
4,degraded_sector,normal,7,21,500,480,20,0.96,75,73,0.973333333333333,0.968531468531469,0.974,360.525014362012,349.144735208771,11.3802791532417,0.698289470417541,0,73,0.973333333333333,1,0.413932357578689,0.818994420823474,0.123782231172473
5,outage_sector,normal,7,21,500,477,23,0.954,75,72,0.96,0.945009535918627,0.972,360.525014362012,342.864979367179,17.6600349948336,0.685729958734357,0,72,0.96,0,0.403432571524959,0.765406058236059,0.121808374233332
6,low_load_energy_saving_candidate,low_load,7,21,500,485,15,0.97,25,24,0.96,0.978067387158296,0.976,43.5840298604244,42.3237820368783,1.26024782354609,0.0846475640737566,0,24,0.96,0,0.0508894990541751,0.16278230857193,0.0429076316859226
7,handover_stress,normal,7,21,500,473,27,0.946,75,71,0.946666666666667,0.978067387158296,0.95,360.525014362012,337.222946428715,23.3020679332974,0.67444589285743,0,71,0.946666666666667,2,0.40216889960619,0.900049093378805,0.119990126327611
8,mixed_conflict,overload,7,21,500,480,20,0.96,150,142,0.946666666666667,0.968531468531469,0.974,1050.95216193294,802.446751227907,248.505410705037,1.60489350245581,0,81,0.54,18,1.15396869210451,1.81243221556595,0.243666774743109
