siteId,x_m,y_m,h_m
1,0,0,25
2,0,800.415329707782,25
3,693.180009105437,400.207664853891,25
4,693.180009105437,-400.207664853891,25
5,0,-800.415329707782,25
6,-693.180009105437,-400.207664853891,25
7,-693.180009105437,400.207664853891,25
