scenario_name,action_count,mean_delta_attach_rate,mean_delta_rsrp_dB,mean_delta_sinr_dB,mean_delta_sector_load,mean_delta_qos_satisfaction_ratio
outage_sector,8,-0.01125,0.22615779392682,0.0427520217586396,-0.00293909850713803,0.0116666666666667
mixed_conflict,28,-0.0122857142857143,0.0743737045969972,0.0926891730664718,-0.0255000018641102,0.00833333333333335
overload,18,-0.0107777777777778,0.0704887396596147,0.0601312791687423,-0.0280569008210688,0.0403703703703704
degraded_sector,3,-0.0186666666666667,0.129250143141784,0.165486917025014,-0.0186540683863893,-0.0222222222222222
normal,2,-0.018,0.0953652248461268,0.141787193613537,-0.0122381199046284,0.0266666666666667
handover_stress,5,-0.0111999999999999,0.0715086637497222,0.0922953253450828,-0.00540255795558549,-0.00800000000000001
