split,scenario_name,metric_name,metric_value,module_name,model_name
test,ALL,regret_le_0p01,0.533333333333333,COC/OH,Linear_Ridge
test,ALL,regret_le_0p05,1,COC/OH,Linear_Ridge
test_safe,ALL,MAE,0.0206959955780862,COC/OH,Linear_Ridge
test_safe,ALL,RMSE,0.0249925940184155,COC/OH,Linear_Ridge
test_safe,ALL,R2,0.774486756225543,COC/OH,Linear_Ridge
test_safe,ALL,mean_error,-0.00483919489877645,COC/OH,Linear_Ridge
test_safe,ALL,median_absolute_error,0.018667508162837,COC/OH,Linear_Ridge
test_safe,ALL,pearson_r,0.888744829596244,COC/OH,Linear_Ridge
test_safe,ALL,spearman_rho,0.790907899592966,COC/OH,Linear_Ridge
test_safe,ALL,within_0p01,0.275947793660659,COC/OH,Linear_Ridge
test_safe,ALL,within_0p05,0.969546302050963,COC/OH,Linear_Ridge
test_safe,ALL,within_0p10,1,COC/OH,Linear_Ridge
test_unsafe,ALL,MAE,0.0333983922058782,COC/OH,Linear_Ridge
test_unsafe,ALL,RMSE,0.040462495984477,COC/OH,Linear_Ridge
test_unsafe,ALL,R2,-0.150349881258617,COC/OH,Linear_Ridge
test_unsafe,ALL,mean_error,0.00840905350343363,COC/OH,Linear_Ridge
test_unsafe,ALL,median_absolute_error,0.0291497229043961,COC/OH,Linear_Ridge
test_unsafe,ALL,pearson_r,0.430513936277099,COC/OH,Linear_Ridge
test_unsafe,ALL,spearman_rho,-0.24727535135366,COC/OH,Linear_Ridge
test_unsafe,ALL,within_0p01,0.151631477927063,COC/OH,Linear_Ridge
test_unsafe,ALL,within_0p05,0.779270633397313,COC/OH,Linear_Ridge
test_unsafe,ALL,within_0p10,0.99616122840691,COC/OH,Linear_Ridge
train,ALL,MAE,0.00832563460159293,COC/OH,Random_Forest
train,ALL,RMSE,0.0113247246033681,COC/OH,Random_Forest
train,ALL,R2,0.959181866993461,COC/OH,Random_Forest
train,ALL,mean_error,4.24243971945027e-05,COC/OH,Random_Forest
train,ALL,median_absolute_error,0.00580454461784493,COC/OH,Random_Forest
train,ALL,pearson_r,0.981231290747521,COC/OH,Random_Forest
train,ALL,spearman_rho,0.982597976341468,COC/OH,Random_Forest
train,ALL,within_0p01,0.729582196094898,COC/OH,Random_Forest
train,ALL,within_0p05,1,COC/OH,Random_Forest
train,ALL,within_0p10,1,COC/OH,Random_Forest
train,degraded_sector,MAE,0.00445101199753533,COC/OH,Random_Forest
train,degraded_sector,RMSE,0.00568278183062158,COC/OH,Random_Forest
train,degraded_sector,R2,0.83607242121446,COC/OH,Random_Forest
train,degraded_sector,mean_error,-0.000130615464903547,COC/OH,Random_Forest
train,degraded_sector,median_absolute_error,0.00398129022387312,COC/OH,Random_Forest
train,degraded_sector,pearson_r,0.936673983738545,COC/OH,Random_Forest
train,degraded_sector,spearman_rho,0.915183018883412,COC/OH,Random_Forest
train,degraded_sector,within_0p01,0.952825990209168,COC/OH,Random_Forest
train,degraded_sector,within_0p05,1,COC/OH,Random_Forest
train,degraded_sector,within_0p10,1,COC/OH,Random_Forest
train,mixed_conflict,MAE,0.00589684555910749,COC/OH,Random_Forest
train,mixed_conflict,RMSE,0.00813548662278673,COC/OH,Random_Forest
train,mixed_conflict,R2,0.785545706063257,COC/OH,Random_Forest
train,mixed_conflict,mean_error,0.000984339398001514,COC/OH,Random_Forest
train,mixed_conflict,median_absolute_error,0.00451804744965389,COC/OH,Random_Forest
train,mixed_conflict,pearson_r,0.901993516635304,COC/OH,Random_Forest
train,mixed_conflict,spearman_rho,0.877551402141078,COC/OH,Random_Forest
train,mixed_conflict,within_0p01,0.863905325443787,COC/OH,Random_Forest
train,mixed_conflict,within_0p05,1,COC/OH,Random_Forest
train,mixed_conflict,within_0p10,1,COC/OH,Random_Forest
train,outage_sector,MAE,0.0126999264692135,COC/OH,Random_Forest
train,outage_sector,RMSE,0.0153907816604534,COC/OH,Random_Forest
train,outage_sector,R2,0.864773062419159,COC/OH,Random_Forest
train,outage_sector,mean_error,7.47721014468194e-05,COC/OH,Random_Forest
train,outage_sector,median_absolute_error,0.0104980025167323,COC/OH,Random_Forest
train,outage_sector,pearson_r,0.974192692269662,COC/OH,Random_Forest
train,outage_sector,spearman_rho,0.971284687299715,COC/OH,Random_Forest
train,outage_sector,within_0p01,0.47842056932966,COC/OH,Random_Forest
train,outage_sector,within_0p05,1,COC/OH,Random_Forest
train,outage_sector,within_0p10,1,COC/OH,Random_Forest
test,ALL,MAE,0.0108223087957215,COC/OH,Random_Forest
test,ALL,RMSE,0.0143185532962913,COC/OH,Random_Forest
test,ALL,R2,0.938364590613338,COC/OH,Random_Forest
test,ALL,mean_error,0.0018216116937651,COC/OH,Random_Forest
test,ALL,median_absolute_error,0.00824297027315868,COC/OH,Random_Forest
test,ALL,pearson_r,0.972107232608863,COC/OH,Random_Forest
test,ALL,spearman_rho,0.959139632880503,COC/OH,Random_Forest
test,ALL,within_0p01,0.58075117370892,COC/OH,Random_Forest
test,ALL,within_0p05,0.995774647887324,COC/OH,Random_Forest
test,ALL,within_0p10,1,COC/OH,Random_Forest
