oracle_group_id,scenario_name,realization_id,source_sector_id,module_name,selected_action_id,selected_action_type,target_sector_id,reward,safety_valid,oracle_selection_reason,is_noop,delta_prs_dB,delta_tilt_deg,delta_cio_dB,delta_hom_dB,delta_ttt_ms,es_action,pre_source_load_ratio,post_source_load_ratio,pre_source_RSRP_dBm,post_source_RSRP_dBm,pre_source_SINR_dB,post_source_SINR_dB,pre_source_qos_satisfaction_ratio,post_source_qos_satisfaction_ratio,pre_source_attach_rate,post_source_attach_rate,pre_source_handover_risk_score,post_source_handover_risk_score
452,mixed_conflict,11,6,LB/MLB,13994,cio_bias_to_neighbor,19,0.086528995550303,1,safe_best_reward,0,0,0,3,0,0,,1.15843450873158,0.97921725436579,-87.0056031120293,-87.0056031120293,9.35100541345759,9.32412282530272,1,1,1,1,0.2,0.2
453,mixed_conflict,11,7,LB/MLB,14007,cio_bias_to_neighbor,8,0.00323812292532102,1,safe_best_reward,0,0,0,3,0,0,,1.07305894857873,0.936529474289365,-89.258211263261,-89.258211263261,11.0175903470305,10.9971109258871,1,1,1,1,0.0434782608695652,0.0434782608695652
454,mixed_conflict,11,10,LB/MLB,14017,no_op,0,0,1,safe_best_reward,1,0,0,0,0,0,,0.854929042964726,0.854929042964726,-87.8387504975935,-87.8387504975935,10.2930622545453,10.2930622545453,1,1,0.962962962962963,0.962962962962963,0.0769230769230769,0.0769230769230769
455,mixed_conflict,11,11,LB/MLB,14041,cio_bias_to_neighbor,2,0.26125,1,safe_best_reward,0,0,0,3,0,0,,1.80372195695652,1.55372195695652,-96.8246521781329,-96.8246521781329,5.37126766561311,5.33376766561311,0,0.0875,0.857142857142857,0.857142857142857,0.0833333333333333,0.0833333333333333
456,mixed_conflict,11,12,LB/MLB,14046,cio_bias_to_neighbor,2,0.110316626438075,1,safe_best_reward,0,0,0,3,0,0,,1.20673426687934,1.00336713343967,-88.9242029458941,-88.9242029458941,5.35603511818726,5.32553004817131,1,1,1,1,0.333333333333333,0.333333333333333
457,mixed_conflict,11,13,LB/MLB,14059,cio_bias_to_neighbor,2,0.26125,1,safe_best_reward,0,0,0,3,0,0,,2.73960157701838,2.48960157701838,-90.0939401808351,-90.0939401808351,4.28134148629064,4.24384148629064,0,0.0875,1,1,0.363636363636364,0.363636363636364
458,mixed_conflict,11,14,LB/MLB,14081,cio_bias_to_neighbor,2,0.06625,1,safe_best_reward,0,0,0,6,0,0,,1.08469304741012,0.83469304741012,-88.2323400546638,-88.2323400546638,10.7912570546293,10.7537570546293,1,1,0.961538461538462,0.961538461538462,0.08,0.08
459,mixed_conflict,11,15,LB/MLB,14082,no_op,0,0,0,no_safe_action_available,1,0,0,0,0,0,,1.89476639786128,1.89476639786128,-87.5721675217933,-87.5721675217933,9.08625342881858,9.08625342881858,0,0,1,1,0,0
460,mixed_conflict,11,17,LB/MLB,14101,cio_bias_to_neighbor,16,-0.1275,1,safe_best_reward,0,0,0,-3,0,0,,2.70046479873877,2.71546479873877,-89.9632101651136,-89.9632101651136,6.07325981431435,6.07325981431435,0,0,1,1,0.2,0.2
461,mixed_conflict,11,18,LB/MLB,14110,cio_bias_to_neighbor,16,-0.1275,1,safe_best_reward,0,0,0,-3,0,0,,1.42523451388591,1.44023451388591,-88.3708229934936,-88.3708229934936,11.7373689916159,11.7373689916159,0,0,0.96551724137931,0.96551724137931,0.107142857142857,0.107142857142857
462,mixed_conflict,11,20,LB/MLB,14132,cio_bias_to_neighbor,21,-0.0744607084001439,1,safe_best_reward,0,0,0,3,0,0,,1.66322788622277,1.41322788622277,-88.3075213960216,-88.3075213960216,6.3276978633784,6.2901978633784,0,0.0875,1,1,0.2,0.2
463,normal,11,8,LB/MLB,14134,no_op,0,0,1,safe_best_reward,1,0,0,0,0,0,,0.86545615889877,0.86545615889877,-87.701509063634,-87.701509063634,9.35919283917938,9.35919283917938,1,1,1,1,0.171428571428571,0.171428571428571
464,normal,11,20,LB/MLB,14150,cio_bias_to_neighbor,3,0.258743931594952,1,safe_best_reward,0,0,0,3,0,0,,1.29643264283979,1.0482163214199,-85.6133929011132,-85.6133929011132,7.55374914003599,7.51651669182301,0,0.0868757124969633,1,1,0.0833333333333333,0.0833333333333333
465,outage_sector,11,3,LB/MLB,14163,cio_bias_to_neighbor,16,0.109907970066304,1,safe_best_reward,0,0,0,3,0,0,,1.20590450774884,1.00295225387442,-87.6919565103053,-87.6919565103053,4.96509892982584,4.93465609174468,1,1,0.91304347826087,0.91304347826087,0.380952380952381,0.380952380952381
466,outage_sector,11,12,LB/MLB,14173,no_op,0,0,1,safe_best_reward,1,0,0,0,0,0,,0.864184469565372,0.864184469565372,-90.4503976078317,-90.4503976078317,6.7769341770944,6.7769341770944,1,1,0.942857142857143,0.942857142857143,0.121212121212121,0.121212121212121
467,overload,11,1,LB/MLB,14186,no_op,0,0,0,no_safe_action_available,1,0,0,0,0,0,,1.72122909393927,1.72122909393927,-84.87710166787,-84.87710166787,7.87401464628936,7.87401464628936,0,0,0.96551724137931,0.96551724137931,0.357142857142857,0.357142857142857
468,overload,11,2,LB/MLB,14199,no_op,0,0,1,safe_best_reward,1,0,0,0,0,0,,0.831314486374674,0.831314486374674,-87.445397863954,-87.445397863954,7.04033893887876,7.04033893887876,1,1,0.9375,0.9375,0.266666666666667,0.266666666666667
469,overload,11,3,LB/MLB,14222,cio_bias_to_neighbor,2,-0.1275,1,safe_best_reward,0,0,0,-3,0,0,,1.77304125409927,1.78804125409927,-90.0842817833141,-90.0842817833141,3.13027652020472,3.13027652020472,0,0,0.941176470588235,0.941176470588235,0.25,0.25
470,overload,11,4,LB/MLB,14225,no_op,0,0,1,safe_best_reward,1,0,0,0,0,0,,0.835974761101864,0.835974761101864,-88.7014622371788,-88.7014622371788,10.9651517172161,10.9651517172161,1,1,1,1,0.125,0.125
471,overload,11,5,LB/MLB,14248,cio_bias_to_neighbor,4,-0.1275,1,safe_best_reward,0,0,0,-3,0,0,,1.83173721528485,1.84673721528485,-85.9740734143122,-85.9740734143122,8.34571274947382,8.34571274947382,0,0,0.923076923076923,0.923076923076923,0.166666666666667,0.166666666666667
472,overload,11,6,LB/MLB,14253,cio_bias_to_neighbor,19,-0.1275,1,safe_best_reward,0,0,0,-3,0,0,,2.21670269446395,2.23170269446395,-89.9642558202395,-89.9642558202395,7.13939022893984,7.13939022893984,0,0,0.931034482758621,0.931034482758621,0.222222222222222,0.222222222222222
473,overload,11,8,LB/MLB,14271,cio_bias_to_neighbor,7,0.15684035685983,1,safe_best_reward,0,0,0,3,0,0,,1.26778475570211,1.03389237785106,-87.4288371121276,-87.4288371121276,8.00632136627591,7.97123750959825,0,0.0818623322478692,1,1,0.153846153846154,0.153846153846154
