num_sites,num_sectors,num_ues,attached_ues,unattached_ues,attach_rate,active_ues,active_attached_ues,active_attach_rate,coverage_ratio,sinr_threshold_ratio,total_offered_traffic_Mbps,total_served_traffic_Mbps,total_unserved_traffic_Mbps,mean_ue_throughput_Mbps,median_ue_throughput_Mbps,qos_satisfied_ues,qos_satisfaction_ratio,overloaded_sector_count,mean_sector_load,max_sector_load,jain_fairness_index,scenario_name,realization_id,phase_tag
7,21,500,482,18,0.964,75,72,0.96,0.964,0.968,336.74621601882,321.562054757459,15.1841612613608,0.643124109514918,0,72,0.96,2,0.349370852007098,0.827855260050664,0.122279815171322,outage_sector,2,pre
7,21,500,476,24,0.952,75,70,0.933333333333333,0.952,0.956,336.74621601882,313.638639400685,23.1075766181347,0.62727727880137,0,70,0.933333333333333,2,0.340177843187092,0.83393108501026,0.119002501794761,outage_sector,2,post
7,21,500,488,12,0.976,75,72,0.96,0.976,0.984,325.579525392714,303.906511247101,21.6730141456127,0.607813022494203,0,72,0.96,1,0.3249794499372,1.05495631227324,0.117119427537502,outage_sector,9,pre
7,21,500,475,25,0.95,75,73,0.973333333333333,0.95,0.958,325.579525392714,308.482287413759,17.0972379789551,0.616964574827518,0,73,0.973333333333333,1,0.329147944930533,1.05574432500939,0.119093303312292,outage_sector,9,post
7,21,500,481,19,0.962,150,144,0.96,0.962,0.978,1115.5058706305,725.963330706469,389.542539924035,1.45192666141294,0,58,0.386666666666667,15,1.32072917138196,2.73960157701838,0.234456854349908,mixed_conflict,11,pre
7,21,500,481,19,0.962,150,144,0.96,0.962,0.976,1115.5058706305,732.86744679852,382.638423831985,1.46573489359704,0,58,0.386666666666667,15,1.3155329173357,2.70437453590277,0.23359916670121,mixed_conflict,11,post
7,21,500,488,12,0.976,75,75,1,0.976,0.984,337.966660034501,330.929201789309,7.03745824519197,0.661858403578619,0,75,1,1,0.405401791269386,1.22947035737042,0.125962690306419,outage_sector,13,pre
7,21,500,478,22,0.956,75,75,1,0.956,0.964,337.966660034501,333.832439072637,4.13422096186449,0.667664878145274,0,75,1,1,0.398830555037358,1.12314672874076,0.125924778073574,outage_sector,13,post
7,21,500,487,13,0.974,75,71,0.946666666666667,0.974,0.982,337.86748635719,307.341891782696,30.5255945744946,0.614683783565391,0,62,0.826666666666667,1,0.358525515675378,1.28595189855004,0.117257096524732,outage_sector,15,pre
7,21,500,483,17,0.966,75,71,0.946666666666667,0.966,0.97,337.86748635719,314.396086643782,23.4713997134077,0.628792173287565,0,71,0.946666666666667,1,0.348398870600426,0.878546280481162,0.117301197403375,outage_sector,15,post
